# wavelength[um] flux[erg/cm2/s/cm]
4.354561697256974284e+00 1.240551657716979273e+06
4.358918436960855125e+00 1.540864030025943648e+06
4.363279535583538760e+00 2.672299332747301087e+06
4.367644997486123337e+00 3.229990081443488132e+06
4.372014827034064410e+00 3.716981305181153584e+06
4.376389028597194475e+00 4.381286616362181492e+06
4.380767606549714976e+00 5.561386128252814524e+06
4.385150565270209633e+00 7.217535845854793675e+06
4.389537909141639105e+00 8.630518009288568050e+06
4.393929642551338333e+00 1.009379532854288258e+07
4.398325769891044068e+00 1.146388541905461252e+07
4.402726295556887770e+00 1.447191432195356674e+07
4.407131223949391163e+00 1.496227702504660562e+07
4.411540559473484002e+00 1.715341991733926907e+07
4.415954306538509400e+00 1.768872515948775038e+07
4.420372469558211392e+00 2.035879135694830492e+07
4.424795052950750929e+00 2.109970014069463685e+07
4.429222061138705868e+00 2.037668001822536066e+07
4.433653498549093186e+00 1.918674048063033819e+07
4.438089369613354762e+00 2.339396253962046653e+07
4.442529678767354717e+00 2.335702897001716122e+07
4.446974430451398952e+00 2.286345175033499673e+07
4.451423629110244917e+00 1.995994947708591446e+07
4.455877279193092733e+00 1.917897052602941543e+07
4.460335385153590515e+00 1.707129620292129740e+07
4.464797951449841484e+00 1.670410551991835982e+07
4.469264982544411069e+00 1.730772890617494658e+07
4.473736482904336675e+00 1.361848939609278366e+07
4.478212457001122360e+00 1.080586708587964810e+07
4.482692909310737051e+00 9.016108597383771092e+06
4.487177844313640307e+00 9.483629253675302491e+06
4.491667266494762778e+00 9.152196070353986695e+06
4.496161180343516861e+00 5.808021125104661100e+06
4.500659590353822459e+00 4.300403845721977763e+06
4.505162501024093658e+00 4.782736034422253259e+06
4.509669916857241390e+00 4.551307349208267406e+06
4.514181842360688535e+00 2.430340251432040706e+06
4.518698282046352155e+00 1.930139163681233535e+06
4.523219240430670141e+00 2.565539954591214191e+06
4.527744722034610092e+00 1.675522241256748326e+06
4.532274731383646227e+00 8.605316759547706461e+05
4.536809273007785137e+00 1.244356711852508830e+06
4.541348351441579112e+00 1.054103465204052860e+06
4.545891971224099493e+00 4.475372742701061070e+05
4.550440136898975751e+00 6.447207472629479598e+05
4.554992853014370624e+00 6.165361404667878523e+05
4.559550124122995207e+00 2.655306458361704717e+05
4.564111954782122282e+00 4.070315672431398416e+05
4.568678349553586315e+00 3.734467778844646527e+05
4.573249313003776351e+00 1.854810838902500400e+05
4.577824849703659993e+00 3.027239913082202547e+05
4.582404964228774524e+00 2.525856656619882851e+05
4.586989661159233123e+00 1.662853730218666315e+05
4.591578945079738183e+00 2.586403421202140744e+05
4.596172820579575991e+00 1.750794025048621406e+05
4.600771292252614941e+00 1.934448419671693409e+05
4.605374364697328637e+00 2.203360680180807831e+05
4.609982042516789669e+00 1.440977731710808584e+05
4.614594330318677606e+00 2.197185122518450080e+05
4.619211232715274562e+00 1.836216781089349533e+05
4.623832754323488281e+00 1.867481762095696758e+05
4.628458899764849477e+00 2.368390981943564839e+05
4.633089673665492292e+00 1.529926116327282216e+05
4.637725080656193377e+00 2.838249335853297380e+05
4.642365125372356793e+00 1.994567720799510425e+05
4.647009812454028221e+00 3.072927970433516894e+05
4.651659146545906509e+00 3.910558152453844668e+05
4.656313132297318802e+00 3.305509552971306839e+05
4.660971774362248077e+00 1.265076524165506708e+06
4.665635077399347352e+00 2.715154803294477053e+06
4.670303046071911268e+00 1.515826634415827459e+06
4.674975685047906282e+00 3.214956449670987204e+05
4.679652998999974223e+00 5.467582962358554360e+05
4.684334992605429626e+00 3.147247144726894330e+05
4.689021670546271281e+00 3.429643418853624607e+05
4.693713037509176011e+00 3.230920223737516208e+05
4.698409098185504895e+00 2.527850651545698929e+05
4.703109857271324579e+00 3.621660858208313002e+05
4.707815319467393955e+00 2.129983441073669528e+05
4.712525489479173046e+00 4.002391642153837602e+05
4.717240372016835437e+00 1.993128580784685910e+05
4.721959971795260280e+00 4.475605047699474380e+05
4.726684293534048287e+00 2.019081837458991504e+05
4.731413341957528829e+00 5.054686233601250569e+05
4.736147121794751946e+00 2.183214585117232054e+05
4.740885637779490125e+00 5.882118667965146014e+05
4.745628894650255170e+00 2.468121988740921952e+05
4.750376897150309752e+00 7.076638000696299132e+05
4.755129650027656751e+00 2.867816844244912500e+05
4.759887158035051691e+00 8.908213369235629216e+05
4.764649425930005400e+00 3.405666164555065916e+05
4.769416458474777798e+00 1.164992919398206053e+06
4.774188260436393882e+00 3.988782552646713448e+05
4.778964836586673037e+00 1.478512579428000841e+06
4.783746191702191730e+00 4.843172826958789956e+05
4.788532330564299500e+00 2.123138634357011411e+06
4.793323257959137607e+00 5.974383557019581785e+05
4.798118978677631041e+00 2.860532806828671601e+06
4.802919497515497405e+00 8.054347186415509786e+05
4.807724819273262007e+00 3.522037297594104428e+06
4.812534948756252540e+00 8.399367327556986129e+05
4.817349890774592858e+00 4.585482550228951499e+06
4.822169650143221631e+00 1.929490080856200075e+06
4.826994231681898562e+00 5.448751352354591712e+06
4.831823640215216820e+00 3.303421474779480603e+06
4.836657880572579948e+00 6.056160547806146555e+06
4.841496957588230288e+00 5.062334595231363550e+06
4.846340876101235651e+00 5.818147151277703233e+06
4.851189640955513305e+00 9.175037436498247087e+06
4.856043256999840629e+00 5.494706408391959965e+06
4.860901729087831136e+00 1.315610971515392140e+07
4.865765062077957559e+00 5.779686527622187510e+06
4.870633260833544753e+00 1.661026396459848247e+07
4.875506330222795448e+00 7.333534180976260453e+06
4.880384275118787585e+00 1.995550560384981707e+07
4.885267100399468099e+00 1.108716676880767010e+07
4.890154810947647590e+00 1.814584602482442185e+07
4.895047411651042069e+00 1.868705609294066206e+07
4.899944907402259631e+00 1.216909896053447388e+07
4.904847303098789801e+00 2.837492342100892588e+07
4.909754603643035509e+00 1.591177040317719802e+07
4.914666813942293544e+00 3.064045333146582171e+07
4.919583938908781207e+00 2.093717533392501250e+07
4.924505983459624758e+00 3.658003247588296235e+07
4.929432952516856759e+00 2.992438656985308230e+07
4.934364851007448038e+00 2.200747546470408142e+07
4.939301683863292602e+00 3.697488968636848032e+07
4.944243456021227168e+00 2.261440146981001645e+07
4.949190172423037382e+00 3.458492300803496689e+07
4.954141838015429400e+00 1.589465216937527806e+07
4.959098457750073408e+00 1.980516578194116056e+07
4.964060036583591184e+00 3.536866703715815395e+07
4.969026579477557881e+00 3.616646663953868300e+07
4.973998091398528665e+00 3.950891335894742608e+07
4.978974577317995198e+00 2.386018765217322856e+07
4.983956042212439819e+00 4.094327611823848635e+07
4.988942491063345308e+00 3.904780640509943664e+07
4.993933928857153148e+00 4.221909915380065888e+07
4.998930360585300825e+00 3.799359297591598332e+07
5.003931791244230709e+00 2.659891866094129160e+07
5.008938225835386504e+00 4.003082007907330990e+07
5.013949669365177719e+00 3.173800778077640757e+07
5.018966126845049835e+00 1.074369052481384203e+07
5.023987603291483417e+00 2.788457370019517466e+07
5.029014103725941709e+00 2.035704873240060359e+07
5.034045633174911494e+00 3.643811966937741637e+07
5.039082196669929736e+00 4.106251536738778651e+07
5.044123799247563156e+00 4.282836523400950432e+07
5.049170445949409114e+00 4.531267650652955472e+07
5.054222141822116932e+00 4.480868102650853246e+07
5.059278891917391441e+00 3.663090499753752351e+07
5.064340701291981439e+00 4.374977153708798438e+07
5.069407575007690347e+00 4.419804558947221935e+07
5.074479518131395750e+00 4.037841221059984714e+07
5.079556535735048506e+00 2.780458251098643616e+07
5.084638632895669197e+00 1.421339913536260463e+07
5.089725814695342798e+00 3.582201540998794883e+07
5.094818086221257758e+00 3.929659341747847944e+07
5.099915452565697116e+00 2.862131154106039926e+07
5.105017918826000312e+00 4.091138752091850340e+07
5.110125490104636903e+00 3.040229463479550183e+07
5.115238171509194132e+00 2.624084625604432076e+07
5.120355968152357384e+00 4.131318812595875561e+07
5.125478885151911967e+00 3.793838262807200849e+07
5.130606927630776859e+00 3.572460581171101332e+07
5.135740100717002932e+00 2.551368110979880020e+07
5.140878409543741867e+00 1.888572792694772780e+07
5.146021859249313657e+00 1.518920874834238179e+07
5.151170454977185287e+00 2.136652244959149510e+07
5.156324201875936986e+00 3.455250995081877708e+07
5.161483105099309299e+00 3.849186308000465482e+07
5.166647169806227069e+00 3.935158217286762595e+07
5.171816401160747922e+00 2.145865328278686851e+07
5.176990804332091578e+00 3.883825873598036915e+07
5.182170384494675375e+00 4.282945481598085165e+07
5.187355146828076080e+00 3.903379862958759815e+07
5.192545096517046765e+00 3.365654128379182518e+07
5.197740238751555886e+00 1.889900863708966225e+07
5.202940578726747312e+00 1.738256327293428779e+07
5.208146121642936777e+00 2.419955637533962727e+07
5.213356872705670497e+00 1.121881940423181839e+07
5.218572837125715402e+00 2.472679679382748902e+07
5.223794020119036041e+00 3.236000502785596624e+07
5.229020426906815011e+00 3.488917198904673010e+07
5.234252062715459175e+00 1.858109368721794337e+07
5.239488932776602326e+00 1.843674333480936289e+07
5.244731042327116732e+00 3.192872669711893424e+07
5.249978396609109588e+00 2.555386352086960524e+07
5.255231000869925673e+00 3.693631945039419830e+07
5.260488860362181995e+00 3.780495755405187607e+07
5.265751980343742922e+00 3.978814913372874260e+07
5.271020366077721064e+00 3.414128246089000255e+07
5.276294022832505703e+00 1.692391997190318629e+07
5.281572955881746800e+00 2.979331776076824218e+07
5.286857170504389636e+00 2.901128662701404095e+07
5.292146671984641948e+00 1.269373676778293960e+07
5.297441465612009459e+00 2.975778238043238223e+07
5.302741556681281665e+00 3.072701040118338540e+07
5.308046950492545157e+00 2.639054301014048234e+07
5.313357652351208493e+00 4.199677286503686011e+07
5.318673667567959562e+00 3.910341061085473001e+07
5.323995001458826870e+00 4.179851440722546726e+07
5.329321659345144901e+00 3.604468386725609004e+07
5.334653646553559447e+00 3.898046628889469057e+07
5.339990968416064021e+00 3.324505455936130136e+07
5.345333630269974101e+00 1.912358174596001580e+07
5.350681637457967987e+00 8.735060341187190264e+06
5.356034995328045945e+00 1.150497760621154681e+07
5.361393709233554183e+00 2.762448976523698494e+07
5.366757784533227493e+00 3.508710301230464131e+07
5.372127226591127069e+00 3.249795530261081830e+07
5.377502040776687586e+00 3.371471400054150820e+07
5.382882232464750061e+00 3.201260640374532714e+07
5.388267807035500567e+00 3.701822189460749924e+07
5.393658769874506653e+00 3.825100869363766909e+07
5.399055126372735103e+00 3.222687315359415859e+07
5.404456881926535949e+00 3.559861402031023055e+07
5.409864041937665569e+00 2.125862232884794101e+07
5.415276611813294672e+00 2.033635158536182716e+07
5.420694596965989653e+00 8.293427088028309867e+06
5.426118002813722363e+00 1.537879653397022933e+07
5.431546834779906519e+00 2.832038106066883355e+07
5.436981098293380832e+00 3.215417330334559456e+07
5.442420798788408121e+00 2.033560527573783696e+07
5.447865941704685966e+00 2.906893133039543778e+07
5.453316532487360035e+00 3.068060147276156023e+07
5.458772576587027636e+00 2.486661942358363420e+07
5.464234079459717286e+00 9.142453380794286728e+06
5.469701046566937563e+00 1.777161462274943665e+07
5.475173483375657568e+00 2.152197347979323566e+07
5.480651395358322020e+00 1.533655899283472821e+07
5.486134787992848594e+00 2.792295563752615079e+07
5.491623666762627032e+00 3.639919774249307811e+07
5.497118037156523584e+00 3.935262758562117815e+07
5.502617904668907656e+00 3.251994886864047498e+07
5.508123274799649138e+00 3.927957293329271674e+07
5.513634153054125520e+00 3.614341391691901535e+07
5.519150544943213887e+00 2.049745676093996316e+07
5.524672455983298036e+00 1.746984545895007998e+07
5.530199891696303105e+00 2.514708083612665907e+07
5.535732857609660051e+00 3.453593347917795926e+07
5.541271359256338513e+00 2.753795096326548979e+07
5.546815402174844145e+00 2.304384391618070006e+07
5.552364991909218617e+00 1.996617564341672137e+07
5.557920134009044943e+00 1.364155359205022827e+07
5.563480834029461697e+00 2.486439956465712190e+07
5.569047097531185209e+00 1.511687239352574386e+07
5.574618930080467827e+00 1.707759294819338620e+07
5.580196337249130778e+00 1.028288064256534167e+07
5.585779324614604135e+00 1.777401460628543049e+07
5.591367897759871752e+00 2.802371558284465596e+07
5.596962062273499683e+00 3.483962844947148860e+07
5.602561823749654835e+00 2.195745601721192896e+07
5.608167187788102304e+00 2.885781416563092172e+07
5.613778159994197381e+00 1.640836812349662185e+07
5.619394745978918415e+00 1.970849582637384906e+07
5.625016951358852602e+00 2.823819458843912929e+07
5.630644781756208417e+00 1.879477466876807064e+07
5.636278242798814730e+00 1.797277955193324015e+07
5.641917340120138569e+00 7.802850538994816132e+06
5.647562079359275344e+00 1.227709067960881814e+07
5.653212466160955074e+00 1.808272013718294352e+07
5.658868506175564583e+00 2.377671689176649973e+07
5.664530205059156387e+00 3.104900305335179716e+07
5.670197568473430039e+00 2.678219378660410270e+07
5.675870602085741901e+00 1.178672174368271418e+07
5.681549311569130012e+00 2.642831563894320652e+07
5.687233702602297214e+00 2.343152638035162166e+07
5.692923780869640460e+00 1.630399369793231040e+07
5.698619552061241045e+00 3.109824174814724177e+07
5.704321021872854836e+00 2.496695939942204580e+07
5.710028196005964674e+00 1.241135157582291216e+07
5.715741080167752841e+00 1.511035014409196004e+07
5.721459680071105502e+00 1.128561870315089077e+07
5.727184001434619809e+00 1.722209909521184489e+07
5.732914049982608340e+00 1.830055324515920505e+07
5.738649831445122196e+00 1.807889843244898692e+07
5.744391351557942116e+00 1.604471642592542060e+07
5.750138616062591801e+00 1.290727968214964867e+07
5.755891630706342355e+00 1.986799324596551061e+07
5.761650401242202513e+00 1.467274713413462043e+07
5.767414933428949730e+00 6.998939619353791699e+06
5.773185233031118635e+00 1.815696389259169996e+07
5.778961305818993921e+00 1.533478052599461190e+07
5.784743157568644101e+00 2.831781503361146152e+07
5.790530794061934827e+00 3.381684886969852448e+07
