wl_pl (micron)	Fp_w1	snr_w1
4.020100502512562457e+00	nan	nan
4.060503522638317264e+00	nan	nan
4.101312603267848189e+00	5.098146446918607107e+05	6.646879308789474528e-02
4.142531825411243318e+00	5.469121182994317496e+05	7.249000282416326324e-02
4.184165311093767770e+00	1.362699713934457686e+05	1.824323896731716924e-02
4.226217223768076181e+00	1.392810357021029176e+03	1.866155285666473750e-04
4.268691768730570324e+00	1.687256240932554647e+03	2.256030748260575152e-04
4.311593193541932933e+00	2.675912909034072072e+03	3.596801393878724181e-04
4.354925788451902591e+00	4.478665134177591244e+04	6.124838132085214798e-03
4.398693886828302091e+00	3.112157328782667173e+05	4.359973519499197453e-02
4.442901865590395794e+00	5.317089843167370418e+05	7.610115812989778905e-02
4.487554145646581283e+00	2.461041929931298073e+05	3.569599972725088360e-02
4.532655192336495276e+00	4.003693208693232737e+04	5.853635750118516175e-03
4.578209515877566638e+00	7.380488032053881398e+03	1.091238302733744340e-03
4.624221671816035162e+00	5.642944436219936506e+03	8.528031799395555113e-04
4.670696261482527589e+00	2.198479396126906795e+04	3.432179642079929635e-03
4.717637932452201532e+00	9.039810148312504680e+03	1.462867911070563900e-03
4.765051379009510590e+00	2.084103318128577666e+04	3.480683037129846547e-03
4.812941342617645724e+00	7.971466346293409879e+04	1.364020682138071712e-02
4.861312612392697297e+00	2.771061272005646024e+05	4.838561046299603291e-02
4.910170025582573317e+00	6.573527279351741308e+05	1.174427245956075339e-01
4.959518468050739592e+00	8.633494231235954212e+05	1.590844243697463745e-01
5.009362874764818230e+00	9.214591777490237728e+05	1.764997741527925823e-01
5.059708230290092423e+00	1.154360330752882641e+06	2.305101417213278880e-01
5.110559569287982384e+00	1.006891807589231525e+06	2.089967941075047131e-01
5.161921977019520824e+00	9.193259138650728855e+05	1.971701129611349024e-01
5.213800589853888390e+00	7.410115475250809686e+05	1.634144593151243552e-01
5.266200595782067673e+00	9.140866125968700508e+05	2.071032434204532757e-01
5.319127234935656645e+00	1.040339314002917963e+06	2.430470607613083589e-01
5.372585800110888599e+00	8.905982925987975905e+05	2.157703939773352730e-01
5.426581637297933192e+00	7.681473719334832858e+05	1.938190511243868819e-01
5.481120146215499922e+00	8.358135045918669784e+05	2.197673463734311494e-01
5.536206780850831954e+00	8.052471108369226567e+05	2.200147731929082418e-01
5.591847050005112507e+00	6.943347972957680468e+05	1.962830503509154223e-01
5.648046517844360181e+00	6.604309476708415896e+05	1.925142643070570370e-01
5.704810804455861195e+00	6.457564660611737054e+05	1.939598013321466585e-01
5.762145586410190035e+00	5.987609684376104269e+05	1.857148164119730993e-01
5.820056597328886028e+00	7.161109955076827900e+05	2.302285077351986786e-01
5.878549628457820475e+00	5.031686097415918484e+05	1.682557021480453607e-01
5.937630529246340494e+00	6.146911058574116323e+05	2.140953129383185438e-01
