# wavelength[um] flux[W/sr/m2/um]
4.328512552655626955e+00 5.568964792890706249e-03
4.332843230185990713e+00 7.210197209057536694e-03
4.337178240559948605e+00 1.019095685813086079e-02
4.341517588112503212e+00 1.734392022671292846e-02
4.345861277183007410e+00 2.313985487982137684e-02
4.350209312115151938e+00 2.946406921015844865e-02
4.354561697256974284e+00 3.948798569730044977e-02
4.358918436960855125e+00 4.904722540222550969e-02
4.363279535583538760e+00 8.506192964558131897e-02
4.367644997486123337e+00 1.028137775199049475e-01
4.372014827034064410e+00 1.183151896199490655e-01
4.376389028597194475e+00 1.394606844192811390e-01
4.380767606549714976e+00 1.770244185508265677e-01
4.385150565270209633e+00 2.297413013621468769e-01
4.389537909141639105e+00 2.747179205243799882e-01
4.393929642551338333e+00 3.212954842190963167e-01
4.398325769891044068e+00 3.649068062963291004e-01
4.402726295556887770e+00 4.606553400682609767e-01
4.407131223949391163e+00 4.762640696892930792e-01
4.411540559473484002e+00 5.460103141551030381e-01
4.415954306538509400e+00 5.630496092252900153e-01
4.420372469558211392e+00 6.480404559669757925e-01
4.424795052950750929e+00 6.716243150296622444e-01
4.429222061138705868e+00 6.486098697404837354e-01
4.433653498549093186e+00 6.107329178627373123e-01
4.438089369613354762e+00 7.446529553374453547e-01
4.442529678767354717e+00 7.434773233037663687e-01
4.446974430451398952e+00 7.277662724417722773e-01
4.451423629110244917e+00 6.353449246285429730e-01
4.455877279193092733e+00 6.104855925262698824e-01
4.460335385153590515e+00 5.433962351361655285e-01
4.464797951449841484e+00 5.317081926847243567e-01
4.469264982544411069e+00 5.509221218224451544e-01
4.473736482904336675e+00 4.334899809665455073e-01
4.478212457001122360e+00 3.439614322223521481e-01
4.482692909310737051e+00 2.869916501453924629e-01
4.487177844313640307e+00 3.018732948346653511e-01
4.491667266494762778e+00 2.913234489486113965e-01
4.496161180343516861e+00 1.848750543285116454e-01
4.500659590353822459e+00 1.368861058676098530e-01
4.505162501024093658e+00 1.522392162764061863e-01
4.509669916857241390e+00 1.448726124313933772e-01
4.514181842360688535e+00 7.736013288212181815e-02
4.518698282046352155e+00 6.143823775102503354e-02
4.523219240430670141e+00 8.166367309458967549e-02
4.527744722034610092e+00 5.333352939128454401e-02
