# wavelength[um] flux[W/sr/m2/um]
5.491623666762627032e+00 9.921213262526752397e-01
5.497118037156523584e+00 1.084906665986587360e+00
5.502617904668907656e+00 8.460552450086994414e-01
5.508123274799649138e+00 1.109948379369807725e+00
5.513634153054125520e+00 9.361193830414303862e-01
5.519150544943213887e+00 3.068396527451454636e-01
5.524672455983298036e+00 2.372932288520031574e-01
5.530199891696303105e+00 4.981267963465929038e-01
5.535732857609660051e+00 8.359809178685739806e-01
5.541271359256338513e+00 5.628571141921462351e-01
5.546815402174844145e+00 4.220215569807647671e-01
5.552364991909218617e+00 2.753088545169410928e-01
5.557920134009044943e+00 1.210214297414684420e-01
5.563480834029461697e+00 4.202506041451595786e-01
5.569047097531185209e+00 1.647730029374965266e-01
5.574618930080467827e+00 1.614854575876982778e-01
5.580196337249130778e+00 6.498781181401974694e-02
5.585779324614604135e+00 2.308486945339351393e-01
5.591367897759871752e+00 5.343684435973846680e-01
5.596962062273499683e+00 7.905413085110964966e-01
5.602561823749654835e+00 3.607541895126330500e-01
5.608167187788102304e+00 5.405732212576612739e-01
5.613778159994197381e+00 1.913177134517813349e-01
5.619394745978918415e+00 2.335326262494883121e-01
5.625016951358852602e+00 4.957507794512864829e-01
5.630644781756208417e+00 2.217610651403062461e-01
5.636278242798814730e+00 1.484293460929964059e-01
5.641917340120138569e+00 3.572809191172101467e-02
5.647562079359275344e+00 9.021844823635216670e-02
5.653212466160955074e+00 2.041661907679140908e-01
5.658868506175564583e+00 3.666287967375701506e-01
5.664530205059156387e+00 5.828282526869806857e-01
5.670197568473430039e+00 4.087126792368255268e-01
5.675870602085741901e+00 7.715570794143963851e-02
5.681549311569130012e+00 4.004402622438349435e-01
5.687233702602297214e+00 3.420130925568817815e-01
5.692923780869640460e+00 1.680768523710017281e-01
5.698619552061241045e+00 5.691682736033980561e-01
5.704321021872854836e+00 3.818145627090126504e-01
5.710028196005964674e+00 9.935353615047180786e-02
5.715741080167752841e+00 1.290944824831296023e-01
5.721459680071105502e+00 6.806797473811378174e-02
5.727184001434619809e+00 1.534397580216904644e-01
5.732914049982608340e+00 1.982947493634843461e-01
5.738649831445122196e+00 1.663902249406664646e-01
5.744391351557942116e+00 1.094162643284707637e-01
5.750138616062591801e+00 8.275722111375036216e-02
5.755891630706342355e+00 1.752677487235976550e-01
5.761650401242202513e+00 9.238066076406481475e-02
5.767414933428949730e+00 4.139297545192239386e-02
5.773185233031118635e+00 1.539708436015588267e-01
5.778961305818993921e+00 1.378770410791995971e-01
5.784743157568644101e+00 4.173874194881293520e-01
5.790530794061934827e+00 5.950866704338300117e-01
5.796324221086497808e+00 6.093411601220670715e-01
5.802123444435760113e+00 2.655709213941386815e-01
5.807928469908951286e+00 3.650402506389101576e-01
5.813739303311101558e+00 2.038711562780450848e-01
5.819555950453048077e+00 4.248980769231226751e-02
5.825378417151428678e+00 7.666741433340222567e-02
5.831206709228702323e+00 6.587779369744233005e-02
5.837040832513173072e+00 1.927298028916382411e-01
5.842880792838964332e+00 3.462751148333222950e-01
5.848726596046033066e+00 2.079336992889362912e-01
5.854578247980187555e+00 2.271300691424008311e-01
5.860435754493076743e+00 5.525692268810371288e-02
5.866299121442202669e+00 7.538788174177264712e-02
5.872168354690941783e+00 1.321488215457829185e-01
5.878043460108523632e+00 5.679724654967618219e-02
5.883924443570054841e+00 4.776681900696018446e-02
5.889811310956534207e+00 7.521411481885108274e-02
5.895704068154810074e+00 4.873320339788096700e-02
5.901602721057636280e+00 1.071577376212629051e-01
5.907507275563671278e+00 2.423474557326598111e-01
5.913417737577481681e+00 2.224353439128151366e-01
5.919334113009534271e+00 1.558833993569967158e-01
5.925256407776182677e+00 1.369186026158471514e-01
5.931184627799722442e+00 7.986161920939821579e-02
5.937118779008376812e+00 4.688723443300785165e-02
5.943058867336306506e+00 8.155374342953733424e-02
5.949004898723619483e+00 1.500704903506737964e-01
5.954956879116324764e+00 1.666002245596645004e-01
5.960914814466400813e+00 2.594815539154992079e-01
5.966878710731783109e+00 8.672914684836549593e-02
5.972848573876380129e+00 1.142835620967366794e-01
5.978824409870049372e+00 1.511229706843211229e-01
5.984806224688616894e+00 7.872847840577595901e-02
5.990794024313907506e+00 5.502205614169981829e-02
5.996787814733729682e+00 1.699954828942240037e-01
6.002787601941870221e+00 2.807525604303169331e-01
6.008793391938101358e+00 2.000249838549442438e-01
6.014805190728216289e+00 6.901409561354114597e-02
6.020823004324017624e+00 2.285119440553739500e-01
6.026846838743329826e+00 3.470686220283167867e-01
6.032876700009986770e+00 2.422016079665403054e-01
6.038912594153839741e+00 1.254611202711530815e-01
6.044954527210790296e+00 5.212547952495945325e-02
6.051002505222769834e+00 6.085914343483353472e-02
6.057056534237768020e+00 8.951255060772636551e-02
6.063116620309810578e+00 1.126896054731695851e-01
6.069182769498975283e+00 5.842112962200603915e-02
6.075254987871399948e+00 5.940378991700219491e-02
6.081333281499318844e+00 1.622718545976603588e-01
6.087417656461035165e+00 2.546144857855464627e-01
6.093508118840904153e+00 3.078979882030080661e-01
6.099604674729399711e+00 2.440778516055612524e-01
6.105707330223097529e+00 9.129265122150390099e-02
6.111816091424631558e+00 6.788116367972013565e-02
6.117930964442756192e+00 7.607057763411022300e-02
6.124051955392354252e+00 2.175985187987047598e-01
6.130179070394424556e+00 3.863363370157288368e-01
6.136312315576075704e+00 3.464281728787332870e-01
6.142451697070548278e+00 9.412817632485881436e-02
6.148597221017229053e+00 2.134936104153211667e-01
6.154748893561648337e+00 1.686201703887859893e-01
6.160906720855489738e+00 6.742970037066951805e-02
6.167070709056560851e+00 1.920007706815090587e-01
6.173240864328839450e+00 2.647711761315780232e-01
6.179417192842489470e+00 1.385768794310628382e-01
6.185599700773853904e+00 6.203986232642865611e-02
6.191788394305445031e+00 1.533128850841981028e-01
6.197983279625935538e+00 3.579474122471241193e-01
6.204184362930218910e+00 5.203841417768304556e-01
6.210391650419379239e+00 2.702229266738613300e-01
6.216605148300705430e+00 3.794509509616750820e-01
6.222824862787705413e+00 2.748381332470501981e-01
6.229050800100091045e+00 7.261678615346880417e-01
6.235282966463794985e+00 4.003409270656279606e-01
6.241521368110988455e+00 4.285774490626687028e-01
6.247766011280059040e+00 5.408391211834735479e-01
6.254016902215655982e+00 6.623152908795453264e-01
6.260274047168675082e+00 7.330673767453809164e-01
6.266537452396248042e+00 4.452355601273772501e-01
6.272807124161805525e+00 3.707306310500404489e-01
6.279083068735027418e+00 6.760164570282549690e-01
6.285365292391835723e+00 5.328099382621669378e-01
6.291653801414451408e+00 4.649605162089503474e-01
6.297948602091395287e+00 6.070833906058974438e-01
6.304249700717476479e+00 7.189649865905581860e-01
6.310557103593776418e+00 7.111289019240013554e-01
6.316870817027704810e+00 6.033587522214075571e-01
6.323190847332971209e+00 5.602375150176893692e-01
6.329517200829613444e+00 3.931615406403621282e-01
6.335849883843987840e+00 1.955037649431599356e-01
6.342188902708793208e+00 8.546585640695231190e-02
6.348534263763021990e+00 9.895450014208240219e-02
6.354885973352024209e+00 2.219614747927974585e-01
6.361244037827538556e+00 2.527900723577721220e-01
6.367608463547619557e+00 1.207407304822461502e-01
6.373979256876696198e+00 1.032209959934184407e-01
6.380356424185563924e+00 2.548772202644108420e-01
6.386739971851379316e+00 1.771543849917382174e-01
6.393129906257697392e+00 1.542277038045730964e-01
6.399526233794450292e+00 2.000435259220658124e-01
6.405928960857968590e+00 1.052509769681226059e-01
6.412338093850992848e+00 8.222801621678155204e-02
6.418753639182643411e+00 8.998616755210928075e-02
6.425175603268465707e+00 1.207857055557274295e-01
6.431603992530422254e+00 1.149751290260775521e-01
6.438038813396905979e+00 1.781765029403035161e-01
6.444480072302737561e+00 2.640709009845521038e-01
6.450927775689183186e+00 1.493613673335727199e-01
6.457381930003953663e+00 2.388413052247237434e-01
6.463842541701190214e+00 2.338816837810684668e-01
6.470309617241494671e+00 1.313792760353642286e-01
6.476783163091949902e+00 1.330519734777614316e-01
6.483263185726116262e+00 1.079400992647706059e-01
6.489749691624008499e+00 1.140248136045168559e-01
6.496242687272122396e+00 1.135559409016232424e-01
6.502742179163471192e+00 1.259771495020104159e-01
6.509248173797545611e+00 1.448281885779355571e-01
6.515760677680336066e+00 1.378098238278513132e-01
6.522279697324338876e+00 1.120054225739638837e-01
6.528805239248586467e+00 1.659888842829551903e-01
6.535337309978613618e+00 2.008080827564451276e-01
6.541875916046493877e+00 1.570359027093815862e-01
6.548421063990831570e+00 1.615073807736048250e-01
6.554972760356781336e+00 1.277755237777890296e-01
6.561531011696033922e+00 1.559902214627457151e-01
6.568095824566834828e+00 1.122699708050424322e-01
6.574667205534010073e+00 1.212766673614479596e-01
6.581245161168945756e+00 1.520609748761963531e-01
6.587829698049589844e+00 1.315999214026032371e-01
6.594420822760478806e+00 1.316197502054403945e-01
6.601018541892748281e+00 1.616585027047327261e-01
6.607622862044109979e+00 2.082757318126375878e-01
6.614233789818874776e+00 1.538139465894451108e-01
6.620851331827975805e+00 1.542861754888407710e-01
6.627475494688961355e+00 1.442741053164614262e-01
6.634106285025993976e+00 1.251893184789422686e-01
6.640743709469855816e+00 1.207626553671332370e-01
6.647387774657984139e+00 1.494271321620213866e-01
6.654038487234453569e+00 1.991964868043241965e-01
6.660695853849973425e+00 2.038131950818880267e-01
6.667359881161896595e+00 1.647168375638810300e-01
6.674030575834250634e+00 1.655094639531794476e-01
6.680707944537742193e+00 1.438827177223283849e-01
6.687391993949728608e+00 1.546369466545926830e-01
6.694082730754263189e+00 1.789813611838276253e-01
6.700780161642089006e+00 1.786947881643589642e-01
6.707484293310628232e+00 1.413563548294261007e-01
6.714195132464016780e+00 1.495178257475547889e-01
6.720912685813111409e+00 1.576265782267857185e-01
6.727636960075451533e+00 1.635985965675474940e-01
6.734367961975309846e+00 2.311748806493943154e-01
6.741105698243684330e+00 1.806019185343992195e-01
6.747850175618314239e+00 1.710226455794567890e-01
6.754601400843687209e+00 1.897161053908835715e-01
6.761359380671025932e+00 2.190374966923031852e-01
6.768124121858305919e+00 2.084612214694531451e-01
6.774895631170272381e+00 1.620962708675897923e-01
6.781673915378439332e+00 1.774299208309837173e-01
6.788458981261083380e+00 1.751294460296860256e-01
6.795250835603268591e+00 1.503683220020630984e-01
6.802049485196855372e+00 1.766413053761290708e-01
6.808854936840480043e+00 2.064593880399789305e-01
6.815667197339611683e+00 2.080633758744815653e-01
6.822486273506513932e+00 1.695614334630269893e-01
6.829312172160262762e+00 1.713942648803951363e-01
6.836144900126752688e+00 1.978840407797141376e-01
6.842984464238715425e+00 2.097095638337032608e-01
6.849830871335718996e+00 1.764630045816623916e-01
6.856684128264157962e+00 1.899003291257591319e-01
6.863544241877307606e+00 1.621198236251251701e-01
6.870411219035266193e+00 1.713616842272815410e-01
6.877285066604999386e+00 1.980866177191061839e-01
6.884165791460373107e+00 2.249013482619622306e-01
6.891053400482104685e+00 2.689153930564733286e-01
6.897947900557811707e+00 2.235876209070054854e-01
6.904849298582002248e+00 1.837586052483837773e-01
6.911757601456057998e+00 2.040314867106841068e-01
6.918672816088298205e+00 2.612037634509113415e-01
6.925594949393933497e+00 2.217757503104541561e-01
6.932524008295088969e+00 2.766619454302124415e-01
6.939459999720836159e+00 2.541351402756426014e-01
6.946402930607153969e+00 2.777944661143595950e-01
6.953352807896971299e+00 2.164169522912158250e-01
6.960309638540181254e+00 1.739787860144762499e-01
6.967273429493618941e+00 2.398820024644421345e-01
6.974244187721073907e+00 2.665503743131287795e-01
6.981221920193293684e+00 2.797877530347602781e-01
6.988206633888011332e+00 2.929513366167644239e-01
6.995198335789934774e+00 2.219378311255099379e-01
7.002197032890780548e+00 3.213727701730535458e-01
7.009202732189245388e+00 3.176720462705651116e-01
7.016215440691027538e+00 3.111669449007251620e-01
7.023235165408840075e+00 2.190484952212768399e-01
7.030261913362399362e+00 4.254273899640719780e-01
7.037295691578454360e+00 3.698597085945000695e-01
7.044336507090792843e+00 1.859312418636883679e-01
7.051384366940223636e+00 2.526158695009128596e-01
7.058439278174613030e+00 3.445350126406298563e-01
7.065501247848868793e+00 4.137839787138649639e-01
7.072570283024954385e+00 4.995814510818368248e-01
7.079646390771910269e+00 3.426702389726523634e-01
7.086729578165847698e+00 3.730209980833628092e-01
7.093819852289949601e+00 4.297799524613169497e-01
7.100917220234500782e+00 5.014015439245733674e-01
7.108021689096868378e+00 4.387379499590183252e-01
7.115133265981508082e+00 2.982412282222559607e-01
7.122251958000004990e+00 3.573295280608640989e-01
7.129377772271054070e+00 4.889449992384981569e-01
7.136510715920461934e+00 3.853510783589907396e-01
7.143650796081180587e+00 2.862600242261613692e-01
7.150798019893290558e+00 3.000709642027661883e-01
7.157952394504015103e+00 3.619759313885450580e-01
7.165113927067729094e+00 2.866517208790896332e-01
7.172282624745966118e+00 2.956828513544964010e-01
7.179458494707433580e+00 6.017795420568678999e-01
7.186641544127991388e+00 6.474574075202417234e-01
7.193831780190692804e+00 6.574618317049959471e-01
7.201029210085776455e+00 6.184720778964165611e-01
7.208233841010668996e+00 3.786931711327329864e-01
7.215445680170001985e+00 6.496253011922903386e-01
7.222664734775614548e+00 1.163797869928536288e+00
