# wavelength[um] flux[erg/cm2/s/cm]
4.559550124122995207e+00 2.909161567244973849e+05
4.564111954782122282e+00 4.513354005351404194e+05
4.568678349553586315e+00 4.162738732781892177e+05
4.573249313003776351e+00 1.987284602079021279e+05
4.577824849703659993e+00 3.342724511732499232e+05
4.582404964228774524e+00 2.753383582777433330e+05
4.586989661159233123e+00 1.761271068224093760e+05
4.591578945079738183e+00 2.857130601768846391e+05
4.596172820579575991e+00 1.856567104236785963e+05
4.600771292252614941e+00 2.066454195918288315e+05
4.605374364697328637e+00 2.408485941387473722e+05
4.609982042516789669e+00 1.489337732468525064e+05
4.614594330318677606e+00 2.405179828615388833e+05
4.619211232715274562e+00 1.945132850993993925e+05
4.623832754323488281e+00 1.981892882529314375e+05
4.628458899764849477e+00 2.600449800523727608e+05
4.633089673665492292e+00 1.585190201086399611e+05
4.637725080656193377e+00 3.135556802145004040e+05
4.642365125372356793e+00 2.123657093210228777e+05
4.647009812454028221e+00 3.377700056720766006e+05
4.651659146545906509e+00 4.357575394924160209e+05
4.656313132297318802e+00 3.623649016444237204e+05
4.660971774362248077e+00 1.385391199727909639e+06
4.665635077399347352e+00 2.975796948092436418e+06
4.670303046071911268e+00 1.682743690078709507e+06
4.674975685047906282e+00 3.496877676264372421e+05
4.679652998999974223e+00 5.994099729583732551e+05
4.684334992605429626e+00 3.441352493032995844e+05
4.689021670546271281e+00 3.768162181856033276e+05
4.693713037509176011e+00 3.562038033231632435e+05
4.698409098185504895e+00 2.709473621602937346e+05
4.703109857271324579e+00 4.018672962314914912e+05
4.707815319467393955e+00 2.247945844435284089e+05
4.712525489479173046e+00 4.420227922089821659e+05
4.717240372016835437e+00 2.078188149305499392e+05
4.721959971795260280e+00 4.988831324052656419e+05
4.726684293534048287e+00 2.123902105710169999e+05
4.731413341957528829e+00 5.609154659831362078e+05
4.736147121794751946e+00 2.290673461635673593e+05
4.740885637779490125e+00 6.573638259096202673e+05
4.745628894650255170e+00 2.615737139089709090e+05
4.750376897150309752e+00 7.860701740371173946e+05
4.755129650027656751e+00 3.068859254990422633e+05
4.759887158035051691e+00 9.861770262301020557e+05
4.764649425930005400e+00 3.676152284011305892e+05
4.769416458474777798e+00 1.284976176234288141e+06
4.774188260436393882e+00 4.321748577078148373e+05
4.778964836586673037e+00 1.628569424094913993e+06
4.783746191702191730e+00 5.190518190657537198e+05
4.788532330564299500e+00 2.297203873905878048e+06
4.793323257959137607e+00 6.543727244649971835e+05
4.798118978677631041e+00 3.108837257415737025e+06
4.802919497515497405e+00 8.769724665663285414e+05
4.807724819273262007e+00 3.778737624580515549e+06
4.812534948756252540e+00 9.014725290152550442e+05
4.817349890774592858e+00 4.874881305909148417e+06
4.822169650143221631e+00 2.004410905316906050e+06
4.826994231681898562e+00 5.612579864438910037e+06
4.831823640215216820e+00 3.497894927600444760e+06
4.836657880572579948e+00 6.290666738201671280e+06
4.841496957588230288e+00 4.666948192428892478e+06
4.846340876101235651e+00 5.974803304419471882e+06
4.851189640955513305e+00 8.951699246895283461e+06
4.856043256999840629e+00 5.629755610064315610e+06
4.860901729087831136e+00 1.328532992310827039e+07
4.865765062077957559e+00 5.982358975819772109e+06
4.870633260833544753e+00 1.662828644826513343e+07
4.875506330222795448e+00 7.482118014163708314e+06
4.880384275118787585e+00 1.997143796474011615e+07
4.885267100399468099e+00 1.104378886195301078e+07
4.890154810947647590e+00 1.785803384480807930e+07
4.895047411651042069e+00 1.858157085853200033e+07
4.899944907402259631e+00 1.134323398165411875e+07
4.904847303098789801e+00 2.918830538045560196e+07
4.909754603643035509e+00 1.584430556715416536e+07
4.914666813942293544e+00 3.180336211968960986e+07
4.919583938908781207e+00 2.121976271411393583e+07
4.924505983459624758e+00 3.880521908235670626e+07
4.929432952516856759e+00 3.146507872678846866e+07
4.934364851007448038e+00 2.150891420937260985e+07
4.939301683863292602e+00 4.096561547284626216e+07
4.944243456021227168e+00 2.311276677792293206e+07
4.949190172423037382e+00 3.881584737339286506e+07
4.954141838015429400e+00 1.386717799132563733e+07
4.959098457750073408e+00 1.840481994385886192e+07
4.964060036583591184e+00 3.973924665554225445e+07
4.969026579477557881e+00 4.122105656124303490e+07
4.973998091398528665e+00 4.672899963755894452e+07
4.978974577317995198e+00 2.407170620701391250e+07
4.983956042212439819e+00 4.925104350057820231e+07
4.988942491063345308e+00 4.573193443588095158e+07
4.993933928857153148e+00 5.074172104030999541e+07
4.998930360585300825e+00 4.469534815496849269e+07
5.003931791244230709e+00 2.713868755157884210e+07
5.008938225835386504e+00 4.769928740373415500e+07
5.013949669365177719e+00 3.457808051616774499e+07
5.018966126845049835e+00 5.697982206651915796e+06
5.023987603291483417e+00 2.855844083958093077e+07
5.029014103725941709e+00 1.829580203691437468e+07
5.034045633174911494e+00 4.190440647361662239e+07
5.039082196669929736e+00 4.922111268802334368e+07
5.044123799247563156e+00 5.295249862919306010e+07
5.049170445949409114e+00 5.803497385995701700e+07
5.054222141822116932e+00 5.607765789520412683e+07
5.059278891917391441e+00 4.262594804898978770e+07
5.064340701291981439e+00 5.423348404289729893e+07
5.069407575007690347e+00 5.513311239840533584e+07
5.074479518131395750e+00 4.811374106099463254e+07
5.079556535735048506e+00 2.786046061606499925e+07
5.084638632895669197e+00 9.187501399105103686e+06
5.089725814695342798e+00 4.017367543977511674e+07
5.094818086221257758e+00 4.586150143327825516e+07
5.099915452565697116e+00 2.943684824599765241e+07
5.105017918826000312e+00 4.851229502341769636e+07
5.110125490104636903e+00 3.159610532825268432e+07
5.115238171509194132e+00 2.548080205178206041e+07
5.120355968152357384e+00 4.924748801258791238e+07
5.125478885151911967e+00 4.362284369418781996e+07
5.130606927630776859e+00 3.947198922343721241e+07
5.135740100717002932e+00 2.382941445399911329e+07
5.140878409543741867e+00 1.350053501789244264e+07
5.146021859249313657e+00 1.029188919674785808e+07
5.151170454977185287e+00 1.760139169632350653e+07
5.156324201875936986e+00 3.726794023412596434e+07
5.161483105099309299e+00 4.370976130586979538e+07
5.166647169806227069e+00 4.555460748432541639e+07
5.171816401160747922e+00 2.132960459549729899e+07
5.176990804332091578e+00 4.531085080356294662e+07
5.182170384494675375e+00 5.106713474213323742e+07
5.187355146828076080e+00 4.429837145129233599e+07
5.192545096517046765e+00 3.522163582681327313e+07
5.197740238751555886e+00 1.457688204052824527e+07
5.202940578726747312e+00 1.192100374004772492e+07
5.208146121642936777e+00 2.033216971459021792e+07
5.213356872705670497e+00 4.787627445565002039e+06
5.218572837125715402e+00 2.118306929416502267e+07
5.223794020119036041e+00 3.294868042385198176e+07
5.229020426906815011e+00 3.645944427194257081e+07
5.234252062715459175e+00 1.326774046698196046e+07
5.239488932776602326e+00 1.253796100646351464e+07
5.244731042327116732e+00 3.136507509928283840e+07
5.249978396609109588e+00 2.194136226941227168e+07
5.255231000869925673e+00 3.967437497291440517e+07
5.260488860362181995e+00 4.172471859841168672e+07
5.265751980343742922e+00 4.445275292175306380e+07
5.271020366077721064e+00 3.457741168786434084e+07
5.276294022832505703e+00 1.031499093996356614e+07
5.281572955881746800e+00 2.726881742296229675e+07
5.286857170504389636e+00 2.519714143862595409e+07
5.292146671984641948e+00 5.140890356865023263e+06
5.297441465612009459e+00 2.592503729708494991e+07
5.302741556681281665e+00 2.825446255098570511e+07
5.308046950492545157e+00 2.258515813574566320e+07
5.313357652351208493e+00 4.659294612552925199e+07
5.318673667567959562e+00 4.232339878438043594e+07
5.323995001458826870e+00 4.602107044825549424e+07
5.329321659345144901e+00 3.637281088160364330e+07
5.334653646553559447e+00 4.020043244580794126e+07
5.339990968416064021e+00 3.031732458947571740e+07
5.345333630269974101e+00 1.088186826629920118e+07
5.350681637457967987e+00 1.826787130583910970e+06
5.356034995328045945e+00 3.678712044818789233e+06
