# wavelength[um] flux[W/sr/m2/um]
4.043958187339406152e+00 nan
4.048004168179851980e+00 4.797445805314725642e-01
4.052054197024798299e+00 4.319894552667983834e-01
4.056108277924278305e+00 3.149710868069872105e-01
4.060166414932374401e+00 4.484447840316472256e-01
4.064228612107225302e+00 3.684755888810805069e-01
4.068294873511027809e+00 5.450053574895545871e-01
4.072365203210039475e+00 4.857603734256624173e-01
4.076439605274588374e+00 3.762277596509375766e-01
4.080518083779084648e+00 2.827853797460195273e-01
4.084600642802003634e+00 6.062570396146912399e-01
4.088687286425909839e+00 5.377129939293694427e-01
4.092778018737446288e+00 5.022178045043980132e-01
4.096872843827346067e+00 3.996105960060212792e-01
4.100971765790424328e+00 5.682579547628882066e-01
4.105074788725600499e+00 5.989163631300116197e-01
4.109181916735913376e+00 5.869084157847926919e-01
4.113293153928490042e+00 3.009710149389220324e-01
4.117408504414562742e+00 3.662592101336030193e-01
4.121527972309475985e+00 7.044628441814609898e-01
4.125651561732701644e+00 4.501805384754022366e-01
4.129779276807835409e+00 6.785102286925988047e-01
4.133911121662587895e+00 6.419121364583438849e-01
4.138047100428805081e+00 6.219824558883959575e-01
4.142187217242470076e+00 6.075810061260484840e-01
4.146331476243699576e+00 5.533296839285346547e-01
4.150479881576749186e+00 4.802283358138073055e-01
4.154632437390031185e+00 4.369935258353323526e-01
4.158789147836096767e+00 4.833910580023612624e-01
4.162950017071651132e+00 4.844843263502823238e-01
4.167115049257566817e+00 4.303714169745562201e-01
4.171284248558879248e+00 3.312442477523920292e-01
4.175457619144791188e+00 2.563622174377890861e-01
4.179635165188675394e+00 1.843567635456387077e-01
4.183816890868071070e+00 1.031764668399923895e-01
4.188002800364700740e+00 6.134705924002980398e-02
4.192192897864479129e+00 2.779441231300852633e-02
4.196387187557506060e+00 1.449576417744195649e-02
4.200585673638072670e+00 5.793155191353648557e-03
4.204788360304662298e+00 3.292639455110654007e-03
4.208995251759962919e+00 1.872292090784200697e-03
4.213206352210869809e+00 1.557349754850426496e-03
4.217421665868471337e+00 1.509017383003572084e-03
4.221641196948093366e+00 1.548764384434932239e-03
4.225864949669266402e+00 1.637462746753658811e-03
4.230092928255739793e+00 1.667964965302559102e-03
4.234325136935488842e+00 1.825074230983650273e-03
4.238561579940727242e+00 1.897814881184707071e-03
4.242802261507900852e+00 1.976718637813698696e-03
4.247047185877692144e+00 1.716217047307242241e-03
4.251296357295021089e+00 1.839934400290188900e-03
4.255549780009054928e+00 1.895483102376817634e-03
4.259807458273230374e+00 1.880940715281999645e-03
4.264069396345225194e+00 2.186663727596932071e-03
4.268335598486969751e+00 1.989176570139505971e-03
4.272606068964664772e+00 2.112554239680106485e-03
4.276880812048779568e+00 2.182860143403570711e-03
4.281159832014060029e+00 3.030647553193604668e-03
4.285443133139530403e+00 2.464970238512312686e-03
4.289730719708485296e+00 2.153616707687790004e-03
4.294022596008521653e+00 2.008524900828883523e-03
4.298318766331513885e+00 1.833338165909725523e-03
4.302619234973628970e+00 2.442706248420987557e-03
4.306924006235345104e+00 2.373276831042642372e-03
4.311233084421424167e+00 2.616148596967709638e-03
4.315546473840940145e+00 2.989338324194444098e-03
4.319864178807288901e+00 3.892873326863164393e-03
4.324186203638174852e+00 4.465216077141377637e-03
4.328512552655626955e+00 5.354554445863093926e-03
4.332843230185990713e+00 6.919878797747963141e-03
4.337178240559948605e+00 9.702201598927468959e-03
4.341517588112503212e+00 1.654352446367950841e-02
4.345861277183007410e+00 2.200580841066024015e-02
4.350209312115151938e+00 2.805974764080296918e-02
4.354561697256974284e+00 3.729451983894426642e-02
4.358918436960855125e+00 4.718640753184590031e-02
4.363279535583538760e+00 8.208685574559058951e-02
4.367644997486123337e+00 9.892971573136594143e-02
4.372014827034064410e+00 1.144677856921472725e-01
4.376389028597194475e+00 1.340126781942558298e-01
4.380767606549714976e+00 1.720351742564953657e-01
4.385150565270209633e+00 2.199280633338859814e-01
4.389537909141639105e+00 2.676461456203764189e-01
4.393929642551338333e+00 3.067666013977210504e-01
4.398325769891044068e+00 3.501719423734314107e-01
4.402726295556887770e+00 4.495118815388992606e-01
4.407131223949391163e+00 4.688106577269303132e-01
4.411540559473484002e+00 5.382897266453948726e-01
4.415954306538509400e+00 5.500652491700660507e-01
4.420372469558211392e+00 6.447902025359409928e-01
4.424795052950750929e+00 6.700620551413315473e-01
4.429222061138705868e+00 6.360457369797353211e-01
