wl_pl (micron)	Fp_w1	snr_w1
4.020100502512562457e+00	nan	nan
4.060503522638317264e+00	nan	nan
4.101312603267848189e+00	3.758826493154334021e+05	4.900711129594811227e-02
4.142531825411243318e+00	4.207601010555052781e+05	5.576945699126435729e-02
4.184165311093767770e+00	1.242024669615547173e+05	1.662769812492650989e-02
4.226217223768076181e+00	1.388142476933929174e+03	1.859901032347827826e-04
4.268691768730570324e+00	1.690664737370737839e+03	2.260588249518405456e-04
4.311593193541932933e+00	2.607396230759493392e+03	3.504705396890299808e-04
4.354925788451902591e+00	4.303466146118679171e+04	5.885243482233810247e-03
4.398693886828302091e+00	3.035680729089172673e+05	4.252834610145367344e-02
4.442901865590395794e+00	5.613623856131011853e+05	8.034525007792453488e-02
4.487554145646581283e+00	3.414376945820744731e+05	4.952343656058683791e-02
4.532655192336495276e+00	8.024042382938899391e+04	1.173160905573521380e-02
4.578209515877566638e+00	1.622589013407597122e+04	2.399070056859572281e-03
4.624221671816035162e+00	1.173752404563822165e+04	1.773860425344119668e-03
4.670696261482527589e+00	5.358158145741259068e+04	8.364936828512000225e-03
4.717637932452201532e+00	2.014275391610483348e+04	3.259601257185845095e-03
4.765051379009510590e+00	4.688002220965133893e+04	7.829474475123368929e-03
4.812941342617645724e+00	1.173532256623790308e+05	2.008062025489693037e-02
4.861312612392697297e+00	2.752327027321106871e+05	4.805849479783076000e-02
4.910170025582573317e+00	6.137476969348433195e+05	1.096524509521210472e-01
4.959518468050739592e+00	8.467781891997569473e+05	1.560310560685869152e-01
5.009362874764818230e+00	9.032704458182312082e+05	1.730159863408622101e-01
5.059708230290092423e+00	1.131388924935253337e+06	2.259233248393760496e-01
5.110559569287982384e+00	9.835573064256039215e+05	2.041535919863905757e-01
5.161921977019520824e+00	8.731360465232147835e+05	1.872641420568290083e-01
5.213800589853888390e+00	6.735177246727545280e+05	1.485307114095515968e-01
5.266200595782067673e+00	8.262145826827676501e+05	1.871952264052113291e-01
5.319127234935656645e+00	9.475374518349567661e+05	2.213677608638223993e-01
5.372585800110888599e+00	8.191785774180530570e+05	1.984681002848267539e-01
5.426581637297933192e+00	7.274735788265662268e+05	1.835567754135349061e-01
5.481120146215499922e+00	8.021455553669155343e+05	2.109152984005168152e-01
5.536206780850831954e+00	7.734877190238040639e+05	2.113378113494984167e-01
5.591847050005112507e+00	6.635528004574020160e+05	1.875817110875258320e-01
5.648046517844360181e+00	6.266274160610311665e+05	1.826611582095358233e-01
5.704810804455861195e+00	6.100248668624684215e+05	1.832280549421254345e-01
5.762145586410190035e+00	5.704466602791310288e+05	1.769332017709159266e-01
5.820056597328886028e+00	6.599624676661032718e+05	2.121780988690068204e-01
5.878549628457820475e+00	4.702336027435606811e+05	1.572430640744782171e-01
5.937630529246340494e+00	5.618820771769245621e+05	1.957032768294839076e-01
