wl_pl (micron)	Fp_w1	snr_w1
4.020100502512562457e+00	nan	nan
4.060503522638317264e+00	nan	nan
4.101312603267848189e+00	4.100408248687807936e+05	5.346056963243771276e-02
4.142531825411243318e+00	4.587052918800687767e+05	6.079883059102240278e-02
4.184165311093767770e+00	1.239976561588695913e+05	1.660027900799262643e-02
4.226217223768076181e+00	1.398504999746942303e+03	1.873785245625454537e-04
4.268691768730570324e+00	1.672708346729550385e+03	2.236578756051806635e-04
4.311593193541932933e+00	2.745675705431259757e+03	3.690572347544166442e-04
4.354925788451902591e+00	4.478324044967357622e+04	6.124371673077842575e-03
4.398693886828302091e+00	3.019127441975530237e+05	4.229644489346115477e-02
4.442901865590395794e+00	5.862598088604442310e+05	8.390864528580892212e-02
4.487554145646581283e+00	3.421422904368979507e+05	4.962563281647092150e-02
4.532655192336495276e+00	8.373863307112874463e+04	1.224306594965785325e-02
4.578209515877566638e+00	1.810045739908109317e+04	2.676233009156323353e-03
4.624221671816035162e+00	1.314765617129027305e+04	1.986969806619208814e-03
4.670696261482527589e+00	5.751803344836457836e+04	8.979478356024046121e-03
4.717637932452201532e+00	2.249999660954953288e+04	3.641061758208906807e-03
4.765051379009510590e+00	5.068821546443182160e+04	8.465483019875767040e-03
4.812941342617645724e+00	1.226897052516078256e+05	2.099375493367392279e-02
4.861312612392697297e+00	2.768999824744912912e+05	4.834961586290554419e-02
4.910170025582573317e+00	6.325818257144680247e+05	1.130172731055053836e-01
4.959518468050739592e+00	9.310712320377926808e+05	1.715626039357660004e-01
5.009362874764818230e+00	9.998864518368362915e+05	1.915213116015836159e-01
5.059708230290092423e+00	1.348554130343419267e+06	2.692853754497829821e-01
5.110559569287982384e+00	1.073548059463443933e+06	2.228315939772859133e-01
5.161921977019520824e+00	9.069279465508349240e+05	1.945112252440361067e-01
5.213800589853888390e+00	5.921380648950127652e+05	1.305846993251469634e-01
5.266200595782067673e+00	7.779958418668770464e+05	1.762708446816865504e-01
5.319127234935656645e+00	9.137511142659235047e+05	2.134749215844071735e-01
5.372585800110888599e+00	7.062525763889038935e+05	1.711100582674853210e-01
5.426581637297933192e+00	5.117802341255130596e+05	1.291348601421191955e-01
5.481120146215499922e+00	5.792609513257620856e+05	1.523128582641415651e-01
5.536206780850831954e+00	4.984063838157126447e+05	1.361811625317797536e-01
5.591847050005112507e+00	3.447561457610023790e+05	9.746278576882123901e-02
5.648046517844360181e+00	2.800786128014357528e+05	8.164512601649637213e-02
5.704810804455861195e+00	2.571061410065420787e+05	7.722738997921002602e-02
5.762145586410190035e+00	1.912515225127706071e+05	5.932197232206676274e-02
5.820056597328886028e+00	2.710179351512634312e+05	8.713589166705236477e-02
5.878549628457820475e+00	1.136347946304908837e+05	3.800024021349614201e-02
5.937630529246340494e+00	1.584016896220939816e+05	5.517384684121521415e-02
