# wavelength[um] flux[erg/cm2/s/cm]
4.043958187339406152e+00 nan
4.048004168179851980e+00 1.648043595117534138e+07
4.052054197024798299e+00 1.420310499141005240e+07
4.056108277924278305e+00 9.948067606300994754e+06
4.060166414932374401e+00 1.476230061992528103e+07
4.064228612107225302e+00 1.194227524991626851e+07
4.068294873511027809e+00 1.868823798036397249e+07
4.072365203210039475e+00 1.620427754230279475e+07
4.076439605274588374e+00 1.243039118002252840e+07
4.080518083779084648e+00 8.911742032889261842e+06
4.084600642802003634e+00 2.153050593662795424e+07
4.088687286425909839e+00 1.826913066857870668e+07
4.092778018737446288e+00 1.673754944544653222e+07
4.096872843827346067e+00 1.300484834623277187e+07
4.100971765790424328e+00 1.984704820066376776e+07
4.105074788725600499e+00 2.102157887879555300e+07
4.109181916735913376e+00 2.050960293824296817e+07
4.113293153928490042e+00 9.494263547327216715e+06
4.117408504414562742e+00 1.206418055157144554e+07
4.121527972309475985e+00 2.579598991283290833e+07
4.125651561732701644e+00 1.474390072299320810e+07
4.129779276807835409e+00 2.448657313852632791e+07
4.133911121662587895e+00 2.282662545757886767e+07
4.138047100428805081e+00 2.204463818465224281e+07
4.142187217242470076e+00 2.133057129429896176e+07
4.146331476243699576e+00 1.896870874345172942e+07
4.150479881576749186e+00 1.570511503489527479e+07
4.154632437390031185e+00 1.419311747912921570e+07
4.158789147836096767e+00 1.546894828022548184e+07
4.162950017071651132e+00 1.523781253709726408e+07
4.167115049257566817e+00 1.335096808557750657e+07
4.171284248558879248e+00 1.022417733619072847e+07
4.175457619144791188e+00 7.948120501662379131e+06
4.179635165188675394e+00 5.797209677340281196e+06
4.183816890868071070e+00 3.336694939291341696e+06
4.188002800364700740e+00 2.038675293978086440e+06
4.192192897864479129e+00 9.491835572696871823e+05
4.196387187557506060e+00 5.038543775885904324e+05
4.200585673638072670e+00 2.020413823549308872e+05
4.204788360304662298e+00 1.135924153075520444e+05
4.208995251759962919e+00 6.216348045249570714e+04
4.213206352210869809e+00 5.021119022317972122e+04
4.217421665868471337e+00 4.779702314388957893e+04
4.221641196948093366e+00 4.839514991781497520e+04
4.225864949669266402e+00 5.074528864520967181e+04
4.230092928255739793e+00 5.160288697573500394e+04
4.234325136935488842e+00 5.651124117294938333e+04
4.238561579940727242e+00 5.862955237746998318e+04
4.242802261507900852e+00 6.094351750156354683e+04
4.247047185877692144e+00 5.330066523340317508e+04
4.251296357295021089e+00 5.703210558404675976e+04
4.255549780009054928e+00 6.055325024819630198e+04
4.259807458273230374e+00 5.960765318647676759e+04
4.264069396345225194e+00 6.764874826949460839e+04
4.268335598486969751e+00 6.176784966422880825e+04
4.272606068964664772e+00 6.525056256184416270e+04
4.276880812048779568e+00 6.745685840678733075e+04
4.281159832014060029e+00 9.363211631484709505e+04
4.285443133139530403e+00 7.592571059292339487e+04
4.289730719708485296e+00 6.669372170601932157e+04
4.294022596008521653e+00 6.312795603101035522e+04
4.298318766331513885e+00 5.842457284497379442e+04
4.302619234973628970e+00 7.637793832531583030e+04
4.306924006235345104e+00 7.551409494624077342e+04
4.311233084421424167e+00 8.546214935772139870e+04
4.315546473840940145e+00 9.896863458532595541e+04
4.319864178807288901e+00 1.315078248015106074e+05
4.324186203638174852e+00 1.514321874568500207e+05
4.328512552655626955e+00 1.821745703999009856e+05
4.332843230185990713e+00 2.363980243139242521e+05
4.337178240559948605e+00 3.329358352143236552e+05
4.341517588112503212e+00 5.691536537473918870e+05
4.345861277183007410e+00 7.510716399590132060e+05
4.350209312115151938e+00 9.499198543174678925e+05
4.354561697256974284e+00 1.249133496369812405e+06
4.358918436960855125e+00 1.572201017796319444e+06
4.363279535583538760e+00 2.668154665571160149e+06
4.367644997486123337e+00 3.184529320695166010e+06
4.372014827034064410e+00 3.693978904205814004e+06
4.376389028597194475e+00 4.281583866631178185e+06
4.380767606549714976e+00 5.434852329206196591e+06
4.385150565270209633e+00 6.887697423113867640e+06
