# wavelength[um] flux[erg/cm2/s/cm]
4.043958187339406152e+00 nan
4.048004168179851980e+00 1.507162049797191285e+07
4.052054197024798299e+00 1.357134899094430357e+07
4.056108277924278305e+00 9.895108524060241878e+06
4.060166414932374401e+00 1.408830839054484479e+07
4.064228612107225302e+00 1.157600203055975400e+07
4.068294873511027809e+00 1.712184827256263420e+07
4.072365203210039475e+00 1.526061220559095591e+07
4.076439605274588374e+00 1.181954365795931965e+07
4.080518083779084648e+00 8.883964715526947752e+06
4.084600642802003634e+00 1.904612661840610206e+07
4.088687286425909839e+00 1.689275191468280181e+07
4.092778018737446288e+00 1.577763765133011527e+07
4.096872843827346067e+00 1.255413712709155120e+07
4.100971765790424328e+00 1.785235016027050465e+07
4.105074788725600499e+00 1.881551246523961052e+07
4.109181916735913376e+00 1.843827167359528691e+07
4.113293153928490042e+00 9.455283294755812734e+06
4.117408504414562742e+00 1.150637243865327723e+07
4.121527972309475985e+00 2.213135296007449180e+07
4.125651561732701644e+00 1.414283872463420965e+07
4.129779276807835409e+00 2.131602749846199155e+07
4.133911121662587895e+00 2.016626452147661895e+07
4.138047100428805081e+00 1.954015514080722257e+07
4.142187217242470076e+00 1.908772025306288898e+07
4.146331476243699576e+00 1.738336470043046772e+07
4.150479881576749186e+00 1.508681811838309281e+07
4.154632437390031185e+00 1.372855650430581532e+07
4.158789147836096767e+00 1.518617796631215699e+07
4.162950017071651132e+00 1.522052400441446900e+07
4.167115049257566817e+00 1.352051681882295199e+07
4.171284248558879248e+00 1.040634495282792300e+07
4.175457619144791188e+00 8.053856589605473913e+06
4.179635165188675394e+00 5.791738539945691824e+06
4.183816890868071070e+00 3.241384302478710189e+06
4.188002800364700740e+00 1.927274706278154626e+06
4.192192897864479129e+00 8.731872153339327779e+05
4.196387187557506060e+00 4.553978624802174163e+05
4.200585673638072670e+00 1.819973379026219482e+05
4.204788360304662298e+00 1.034413192309552978e+05
4.208995251759962919e+00 5.881979077781918750e+04
4.213206352210869809e+00 4.892558548907965451e+04
4.217421665868471337e+00 4.740717924583317654e+04
4.221641196948093366e+00 4.865586812282301253e+04
4.225864949669266402e+00 5.144240935728258046e+04
