wl_pl (micron)	Fp_w1	snr_w1
4.040404040404040664e+00	nan	nan
4.122028364452606120e+00	4.344969980896199122e+05	8.080598928919553725e-02
4.205301664744578893e+00	6.237168606040969462e+04	1.182469778242317866e-02
4.290257253931337722e+00	2.212321863406548346e+03	4.188437838984306657e-04
4.376929117647121892e+00	1.740520967347381520e+05	3.406531007881061918e-02
4.465351928104639434e+00	4.635448119655532064e+05	9.455532913764622127e-02
4.555561057965339167e+00	5.072440795521883410e+04	1.053705223334755643e-02
4.647592594489891482e+00	3.544556331328889792e+04	7.693171361276772771e-03
4.741483353974536463e+00	3.668969242588680208e+04	8.538739684641909189e-03
4.837270896479072491e+00	2.002182732638347661e+05	4.895302526569510204e-02
4.934993540852387284e+00	7.828642516366587952e+05	2.006786187393139465e-01
5.034690380061525694e+00	1.174755252395262243e+06	3.249841476335567081e-01
5.136401296830445773e+00	9.901146349297392881e+05	2.957067567990108725e-01
5.240166979594697239e+00	6.851619575451571727e+05	2.165744474236767636e-01
5.346028938778427886e+00	8.097188464034172939e+05	2.722913877101928448e-01
5.454029523400214963e+00	5.458240026846277760e+05	1.988998010858470111e-01
5.564211938014360648e+00	4.208419008185410057e+05	1.655251710253036745e-01
5.676620259994448858e+00	2.685193655964150676e+05	1.123724283427128545e-01
5.791299457166053877e+00	2.313403645441340632e+05	1.032829902635350322e-01
5.908295405795671584e+00	1.360683850304165098e+05	6.568515446376300970e-02
6.027654908943058665e+00	1.572405601293789514e+05	8.217537252122750213e-02
6.149425715184332120e+00	2.394322963257292577e+05	1.341841113806511998e-01
6.273656537713309334e+00	6.027869715051251696e+05	3.612125710785827892e-01
6.400397073828729688e+00	1.900641097678937367e+05	1.227545440747406791e-01
6.529698024815169255e+00	1.667765006762449630e+05	1.168037320197632817e-01
6.661611116225575557e+00	1.961392598326514999e+05	1.484904602283001473e-01
6.796189118573567001e+00	2.329973030058943259e+05	1.894947989535199218e-01
6.933485868443741040e+00	3.004520312402535346e+05	2.622517453932779463e-01
7.073556290028461646e+00	4.718610921326929238e+05	4.437971450194916900e-01
7.216456417099744947e+00	7.267259005632756744e+05	7.382011227386442442e-01
7.362243415424991611e+00	6.271172318280979525e+05	6.861100600469377531e-01
7.510975605635596963e+00	7.679994916587776970e+05	9.001081716435623825e-01
7.662712486557527569e+00	8.325233562834610930e+05	1.041748562199554584e+00
7.817514759013236336e+00	9.736672252854541875e+05	1.300401651197920172e+00
7.975444350104412550e+00	1.317966963729192968e+06	1.879239670321463995e+00
8.136564437985310150e+00	2.626109048724165186e+06	3.987883934865195990e+00
8.300939477136529021e+00	5.061184654766174033e+06	8.142210978003785016e+00
8.468635224149389629e+00	6.736674055138580501e+06	1.142554246849720734e+01
8.639718764031194098e+00	9.188799155814630911e+06	1.635087849238896140e+01
8.814258537041927966e+00	1.113814228254755586e+07	2.074608152079353474e+01
8.992324366073077613e+00	1.172355486477762461e+07	2.283443082509537803e+01
9.173987484579601670e+00	1.208290587216208316e+07	2.454278936925173582e+01
9.359320565076162168e+00	1.114958104286949150e+07	2.354456693743869167e+01
9.548397748209012548e+00	9.018200277021361515e+06	1.972104215479631861e+01
9.741294672415254041e+00	8.630317157502254471e+06	1.941068401617247829e+01
9.938088504181219918e+00	9.194054638991490006e+06	2.115406805028430171e+01
1.013885796891215385e+01	9.964263020245149732e+06	2.336641324920960727e+01
1.034368338242552987e+01	9.683330011219754815e+06	2.310044616103684234e+01
1.055264668308059228e+01	9.157135797492031008e+06	2.215682212396747275e+01
1.076583146455696749e+01	1.113941116380444728e+07	2.715246960593714931e+01
1.098332300929549277e+01	9.572137653831960633e+06	2.350088333196640988e+01
1.120520832261459354e+01	7.140273994081289507e+06	1.759792642112202543e+01
1.143157616751589778e+01	4.945521837510350160e+06	1.218388212616617139e+01
1.166251710019298748e+01	3.524377632981739473e+06	8.643232261776523373e+00
1.189812350625749282e+01	3.577063930641242303e+06	8.695995928084201410e+00
1.213848963769703637e+01	3.838870090098542627e+06	9.230732443875911741e+00
1.238371165057980683e+01	3.873867823318060953e+06	9.198914298074459595e+00
1.263388764352081139e+01	4.552586009225469083e+06	1.064837972202534111e+01
1.288911769692527365e+01	6.723990073866413906e+06	1.543628933304893458e+01
1.314950391302477506e+01	8.575025588564844802e+06	1.928740230847264314e+01
1.341515045672224282e+01	8.990060526141008362e+06	1.979772491992322614e+01
1.368616359726208742e+01	9.330840931609578431e+06	2.008283545989477759e+01
1.396265175074213083e+01	7.476112976367526688e+06	1.573335834200045547e+01
1.424472552348439613e+01	5.561236464280343615e+06	1.143184384257977726e+01
1.453249775628206031e+01	3.635640998904295731e+06	7.295206369037861904e+00
1.482608356954028395e+01	3.122463146144615952e+06	6.107085333014266482e+00
1.512560040932897643e+01	3.359036861324842088e+06	6.398637143988861631e+00
1.543116809436592263e+01	3.987175159147900064e+06	7.393072986932389234e+00
1.574290886394907574e+01	5.955556458162992261e+06	1.073508987199197229e+01
1.606094742685713683e+01	7.514546508715957403e+06	1.316363319397506970e+01
1.638541101123809085e+01	8.389517231553182006e+06	1.427804891118522868e+01
1.671642941550552308e+01	8.589800281446715817e+06	1.419758216020187724e+01
1.705413506026321002e+01	8.966202873475302011e+06	1.438191534411877193e+01
1.739866304127863117e+01	9.188105637014370412e+06	1.429713573667459059e+01
1.775015118352667898e+01	9.206863228428887203e+06	1.389625906939873090e+01
1.810874009632519943e+01	8.996545138229575008e+06	1.317277194192229572e+01
1.839491374864422824e+01	nan	nan
