Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	1015534.6844909292	0.1745347759240916
4.205301664744579	70894.62407854266	0.012977452659460837
4.290257253931338	3103.7263559677594	0.0006034901014231077
4.376929117647122	20055.508298811634	0.004017524108191734
4.465351928104639	575382.6705555636	0.12121502865157723
4.555561057965339	1170031.398986137	0.253218965822874
4.6475925944898915	1251569.7824751583	0.27467042784345685
4.7414833539745365	1113003.8641422372	0.2528924594627271
4.8372708964790725	1168696.3043580991	0.2673775568433643
4.934993540852387	1429935.5559842533	0.3287990601822495
5.034690380061526	1511947.688475599	0.3586706672035358
5.136401296830446	1498993.593119284	0.3580681784222772
5.240166979594697	1556504.782346741	0.37462635846722087
5.346028938778428	1669336.2953768058	0.4200536849136413
5.454029523400215	1631236.470944292	0.4234166319422945
5.564211938014361	1627203.9703192594	0.4316047018689096
5.676620259994449	1568989.8958219313	0.4416565859237365
5.791299457166054	1646937.0182992297	0.4948339109967149
5.908295405795672	1585709.853927522	0.4974070759708614
6.027654908943059	1745356.6472721407	0.5801609102132406
6.149425715184332	2138903.7573129367	0.7713285902035439
6.273656537713309	3040157.4047566555	1.1738778420418359
6.40039707382873	2294144.149870751	0.9356433486656598
6.529698024815169	2236779.443960359	0.9780555784503846
6.661611116225576	3027190.208338101	1.4361257424596459
6.796189118573567	4160421.5315401824	2.1162519299701916
6.933485868443741	4709076.575559894	2.542965150963763
7.073556290028462	5429940.345731631	3.141987759110284
7.216456417099745	5959357.171064854	3.7340634094657204
7.362243415424992	6497606.929007134	4.387520756585439
7.510975605635597	7006705.740621948	5.052751068727143
7.662712486557528	7400247.156586005	5.708362783195706
7.817514759013236	7900537.036388936	6.57460608747826
7.9754443501044125	8286046.083207142	7.45587652565544
8.13656443798531	8714706.628345236	8.428335887823648
8.300939477136529	9244719.569133867	9.558110022730803
8.46863522414939	9735792.630444836	10.770445856471348
8.639718764031194	10172721.0847734	12.084386435515524
8.814258537041928	10625372.246030051	13.549455183658392
8.992324366073078	11147516.647795076	15.181263535561424
9.173987484579602	11760288.293240769	17.003976131352157
9.359320565076162	11073049.253801446	16.960229789575667
9.548397748209013	8153402.295308019	13.241961263005296
9.741294672415254	9510941.229192156	16.319892816457344
9.93808850418122	12733640.350432964	22.965876881768335
10.138857968912154	14642155.228237158	27.617599442764085
10.34368338242553	15294607.192042308	30.025855076716113
10.552646683080592	15811437.873534115	32.18045648749621
10.765831464556967	16187990.639262924	34.07090407565577
10.983323009295493	16588578.95916241	36.01236949849873
11.205208322614594	16991628.282264654	37.910196717105606
11.431576167515898	17358053.797799457	39.613000042947334
11.662517100192987	17736879.84666665	41.19000985508907
11.898123506257493	18022059.734369945	42.40076654098075
12.138489637697036	18347505.28506359	43.58196552462972
12.383711650579807	18758493.30755433	44.871731850093234
12.633887643520811	19165987.24402487	46.067752601620775
12.889117696925274	19295611.4055577	46.49888088232562
13.149503913024775	20019693.930739705	48.19554385089502
13.415150456722243	19214585.954456717	46.12486757883262
13.686163597262087	18447319.893301	44.015472182046814
13.96265175074213	14521656.720587159	34.446716403340915
14.244725523484396	10276492.701456435	24.19317444542277
14.53249775628206	6811077.519900005	15.881030432000673
14.826083569540284	6552872.451943431	15.075891458797871
15.125600409328976	6705145.666267512	15.201327419619902
15.431168094365923	7176224.0247212155	16.008986201369485
15.742908863949076	9657612.388094587	21.137756909923375
16.060947426857137	14708880.353945782	31.48262925450866
16.38541101123809	17793017.534303926	37.24734934939124
16.716429415505523	19122954.667407885	39.15574633837969
17.05413506026321	20310951.714545228	40.6520357541397
17.39866304127863	20003114.543301813	39.15554268544471
17.75015118352668	19429741.196532015	37.19701401500521
18.1087400963252	19244568.063748974	36.02326311572484
18.39491374864423	19161878.693899263	26.634566192021172
