Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	17473.859043937096	0.002357749092676918
4.205301664744579	4623.962578184325	0.0006223371240522299
4.290257253931338	3849.5592155315903	0.0005349126521991233
4.376929117647122	11557.036926046116	0.0016722566109217975
4.465351928104639	36330.50172956483	0.005348252639746791
4.555561057965339	55540.40989789728	0.008531921791848094
4.6475925944898915	71062.06676134486	0.011694551492466851
4.7414833539745365	86957.86842395742	0.01502312656510923
4.8372708964790725	130048.15936375815	0.023532446277598918
4.934993540852387	197112.5080638456	0.03845585477498926
5.034690380061526	284195.01777986885	0.05981781719227021
5.136401296830446	407495.5093586732	0.09071369710468058
5.240166979594697	528478.91545161	0.12505509848276647
5.346028938778428	658251.6101374922	0.1686629027728804
5.454029523400215	746839.899565629	0.20643614410368105
5.564211938014361	783882.1149398988	0.23041960568827638
5.676620259994449	784715.4617650794	0.2459333947566745
5.791299457166054	854299.9443534072	0.28934965115860484
5.908295405795672	865268.3127286419	0.31717079387394254
6.027654908943059	994428.8957638792	0.39080905256173065
6.149425715184332	1231105.6949563024	0.517248310968041
6.273656537713309	1835265.52721867	0.8308806191421279
6.40039707382873	1412080.9662068246	0.6933113410012908
6.529698024815169	1479655.945695816	0.7855301413222064
6.661611116225576	1948464.775316948	1.1116858436662564
6.796189118573567	2678128.4337422727	1.640777108098491
6.933485868443741	3214459.2926499564	2.1237601165960838
7.073556290028462	3934621.857219039	2.810730119596801
7.216456417099745	4554207.206446695	3.50879326415107
7.362243415424992	5526238.057671883	4.568904856832842
7.510975605635597	6334428.215361914	5.603210044409432
7.662712486557528	7221481.052459586	6.835479058635611
7.817514759013236	7809915.098256786	7.918181718508663
7.9754443501044125	8603764.196300125	9.331437465711941
8.13656443798531	9292884.003047459	10.741923624470825
8.300939477136529	9939795.878886854	12.191322535507942
8.46863522414939	10493550.787348349	13.612289139371336
8.639718764031194	11013314.993887296	15.085024872590294
8.814258537041928	11351046.690282382	16.399535690223743
8.992324366073078	11960149.422928624	18.18750653458822
9.173987484579602	12526840.168086791	19.98140834180467
9.359320565076162	10045506.134479092	16.76475934299141
9.548397748209013	5254362.011717033	9.150509333940972
9.741294672415254	6164801.662663583	11.123095961609678
9.93808850418122	11309850.313734243	21.016284376273664
10.138857968912154	15922190.580673553	30.396496126220057
10.34368338242553	17099423.269884817	33.520473079723075
10.552646683080592	17718802.118456114	35.55163933806347
10.765831464556967	18277987.960307427	37.377181061293435
10.983323009295493	18751082.33408126	38.908169736790846
11.205208322614594	19176542.463106122	40.208641132901974
11.431576167515898	19569462.0302884	41.31576493638542
11.662517100192987	19927726.75594724	42.23809394744248
11.898123506257493	20272154.136358805	43.02699904774237
12.138489637697036	20572845.124769446	43.617538209046536
12.383711650579807	20766357.313625023	43.86692226101205
12.633887643520811	20791400.349373467	43.63908814228074
12.889117696925274	20967730.98687692	43.59048859361519
13.149503913024775	20451452.80319878	42.01292258547661
13.415150456722243	17676935.411209088	35.851314924723496
13.686163597262087	16198307.06324232	32.329047731798184
13.96265175074213	13070004.605554093	25.657388643971345
14.244725523484396	10343230.287867926	19.938661496668576
14.53249775628206	7790020.764237732	14.729006119508076
14.826083569540284	7274864.516623343	13.460448080114372
15.125600409328976	7442551.544262056	13.458239349441698
15.431168094365923	8098423.693366892	14.294007687204704
15.742908863949076	10219457.68255573	17.572842668723442
16.060947426857137	13812535.77858016	23.09652642535061
16.38541101123809	16286878.947531862	26.47446909739678
16.716429415505523	17697082.724193472	27.956019545908568
17.05413506026321	19753729.206368197	30.295992041051523
17.39866304127863	20399740.497850154	30.383851829416752
17.75015118352668	20292150.262643002	29.35615901250144
18.1087400963252	20066740.48484948	28.198984161194723
18.39491374864423	19379513.70179435	20.126627939568305
