Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	267586.7036776772	0.04451535519779149
4.205301664744579	17200.811989863403	0.003071556934580421
4.290257253931338	3885.824343075306	0.0007423691710527453
4.376929117647122	11355.5356269542	0.0023210975323857256
4.465351928104639	265833.43308457057	0.058232222926163826
4.555561057965339	792338.0123290059	0.18603959211882248
4.6475925944898915	977769.9425391742	0.24548625958321235
4.7414833539745365	544819.8664233913	0.14574367170856822
4.8372708964790725	708366.0228499018	0.201359777884315
4.934993540852387	1193072.6114665195	0.3600585491006853
5.034690380061526	1315436.9747459162	0.4215385361956055
5.136401296830446	1230234.6621357803	0.418504993209862
5.240166979594697	1225977.7788915033	0.442046186100536
5.346028938778428	1304901.5739697064	0.49741867236532367
5.454029523400215	1100866.6047920783	0.4424884773180431
5.564211938014361	1013987.8567074612	0.4289526488771241
5.676620259994449	890762.7595967063	0.39624692642950726
5.791299457166054	914606.4793035511	0.42768139524600346
5.908295405795672	883468.2382649622	0.4340748645678017
6.027654908943059	993384.522918253	0.5122829744218562
6.149425715184332	1211091.057426998	0.6543889708589161
6.273656537713309	1804171.3859567596	1.0193010270570344
6.40039707382873	1368246.3784857315	0.8068446765745453
6.529698024815169	1430943.901451385	0.8794807535918625
6.661611116225576	1885769.0100660115	1.2069458358591119
6.796189118573567	2596392.2638911833	1.7295649156932442
6.933485868443741	3139462.7621197174	2.175659049749242
7.073556290028462	3878447.2609429406	2.793918272888758
7.216456417099745	4508617.850303455	3.3721476177519176
7.362243415424992	5531029.577377472	4.2880316286025595
7.510975605635597	6341122.279084081	5.086900791523289
7.662712486557528	7218022.492849555	5.981035764428555
7.817514759013236	7761626.881714777	6.633578382794532
7.9754443501044125	8504699.456203636	7.487248951185001
8.13656443798531	9144854.022448042	8.284519273471528
8.300939477136529	9737972.470415711	9.06930174555559
8.46863522414939	10241255.172772823	9.795404798762519
8.639718764031194	10692989.239243574	10.489703688492993
8.814258537041928	10974641.695225278	11.024082292201241
8.992324366073078	11554282.779917454	11.85886234725323
9.173987484579602	12092552.143284913	12.651291649540356
9.359320565076162	9603787.031501811	10.227227453680616
9.548397748209013	4944730.018187456	5.350594121678732
9.741294672415254	5749944.100348055	6.291428743132531
9.93808850418122	10747467.46670311	11.83794980069756
10.138857968912154	15420311.50129729	17.055560286556712
10.34368338242553	16586564.396759814	18.404235362140614
10.552646683080592	17152120.378172353	19.051846167068287
10.765831464556967	17700119.45557853	19.63389437752025
10.983323009295493	18182033.994115185	20.09175955989209
11.205208322614594	18612138.01480722	20.436399180364845
11.431576167515898	19008961.327241264	20.68400907908391
11.662517100192987	19374164.679147508	20.83356484556838
11.898123506257493	19720437.747056007	20.897572383358842
12.138489637697036	20024929.914233234	20.85337945704661
12.383711650579807	20221716.58316702	20.639023386614177
12.633887643520811	20237547.77045515	20.19376806900344
12.889117696925274	20411874.526599556	19.8651746677467
13.149503913024775	19871511.77199739	18.828567234470423
13.415150456722243	17092993.6335423	15.753065464992043
13.686163597262087	15600609.98444443	13.9572282806708
13.96265175074213	12676073.942870945	11.001427771553539
14.244725523484396	10221626.443076972	8.596476472865662
14.53249775628206	7728619.356762287	6.294292142557458
14.826083569540284	7244975.619098377	5.707737916881648
15.125600409328976	7415923.206918168	5.648957677356054
15.431168094365923	8055219.739067635	5.9308886956750175
15.742908863949076	10157969.483825129	7.225579224425249
16.060947426857137	13481732.444825146	9.261230145161049
16.38541101123809	15796834.75835584	10.480962498509776
16.716429415505523	17190250.14277898	11.016161486641833
17.05413506026321	19265258.700212274	11.920138461507207
17.39866304127863	19965379.051506825	11.9271952821022
17.75015118352668	19884451.504456047	11.466980117335229
18.1087400963252	19684049.093014818	10.954252580014415
18.39491374864423	18998485.090603977	7.769935643457232
