Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	117173.89673865924	0.019244729279026224
4.205301664744579	15519.909023155618	0.002789854235713563
4.290257253931338	3903.804905948595	0.0007480395993114972
4.376929117647122	10174.279863131884	0.0020625823068403
4.465351928104639	171874.4139242033	0.03729906521863029
4.555561057965339	323648.2861624197	0.07247906811488965
4.6475925944898915	379421.3065967091	0.08907050275295335
4.7414833539745365	367776.9159905603	0.08949291624392826
4.8372708964790725	471345.89435683924	0.11598214831112133
4.934993540852387	639756.6427674325	0.162840478604829
5.034690380061526	748965.4254185022	0.19348253071934166
5.136401296830446	834617.8185172915	0.21559564037224535
5.240166979594697	933829.4509767191	0.24846987905991663
5.346028938778428	1055624.118280996	0.2848636096764531
5.454029523400215	1005834.1241074078	0.2718932515986773
5.564211938014361	977554.2479653205	0.27491530375488116
5.676620259994449	906675.4018381706	0.2647237102527392
5.791299457166054	952373.20097661	0.28333703315521847
5.908295405795672	921690.9795039977	0.28867183187667284
6.027654908943059	1035171.191975785	0.34732349012944885
6.149425715184332	1289191.0020344637	0.4529370246920501
6.273656537713309	1957213.634251992	0.7240499696065521
6.40039707382873	1431161.7106921324	0.5732091741889824
6.529698024815169	1449513.5422653663	0.6246251802900231
6.661611116225576	1977021.3319542997	0.9001257891632742
6.796189118573567	2781262.4385800017	1.3512083677433953
6.933485868443741	3326007.5213934844	1.752166831242003
7.073556290028462	4087946.787799849	2.3165612603517767
7.216456417099745	4726274.660218465	2.8436361353510433
7.362243415424992	5751989.111930173	3.695051299951722
7.510975605635597	6576729.0791360885	4.566926462518062
7.662712486557528	7475008.317778547	5.600429407012522
7.817514759013236	8044521.374052026	6.438826322343956
7.9754443501044125	8825346.934323201	7.536464496179476
8.13656443798531	9489630.977861406	8.715650051340601
8.300939477136529	10108766.634958861	10.0260165927448
8.46863522414939	10645842.848577537	11.344757108095479
8.639718764031194	11149737.413190812	12.682999981098703
8.814258537041928	11487101.101034721	13.93887296456946
8.992324366073078	12080304.054430308	15.686319478405258
9.173987484579602	12636373.943697333	17.5674256649194
9.359320565076162	10323314.418020856	15.31721467026102
9.548397748209013	5642786.194732803	8.893293979396567
9.741294672415254	6666337.917296471	11.080193528307717
9.93808850418122	11665330.91166772	20.368153597029064
10.138857968912154	15969655.566015286	29.264429785979793
10.34368338242553	17063977.098063722	32.77536066224685
10.552646683080592	17643079.54461791	35.3298379440643
10.765831464556967	18193356.55042865	37.75622463554879
10.983323009295493	18669557.536792915	39.97515762977774
11.205208322614594	19092009.71980628	42.06016442081595
11.431576167515898	19479661.836436506	44.049424778532895
11.662517100192987	19826043.511017974	45.87286067809063
11.898123506257493	20160668.540996864	47.521168989320884
12.138489637697036	20447545.780845642	48.86293416584975
12.383711650579807	20621844.066989858	49.74549148250453
12.633887643520811	20630357.161671247	50.07886747221887
12.889117696925274	20803412.12990649	50.69277521182375
13.149503913024775	20288080.42797751	49.56845376195514
13.415150456722243	17577051.404244147	43.059675046564514
13.686163597262087	16158838.03476699	39.53949729514493
13.96265175074213	13031877.20139741	31.80600798631457
14.244725523484396	10117018.183546733	24.550026952413493
14.53249775628206	7725956.892078607	18.58467359704647
14.826083569540284	7349914.884528967	17.464629187211607
15.125600409328976	7511043.880104123	17.603303555069807
15.431168094365923	8065442.850447192	18.625252303761744
15.742908863949076	9961874.800552145	22.628661639844857
16.060947426857137	13647619.068189781	30.42889648194891
16.38541101123809	16107556.914287731	35.245162630501746
16.716429415505523	17461786.735215787	37.47689416074848
17.05413506026321	19425478.710442297	40.82270450170157
17.39866304127863	20032098.584606394	41.211433985128615
17.75015118352668	19932053.933860548	40.12888247224906
18.1087400963252	19712395.307313133	38.82501115658644
18.39491374864423	19030140.57504894	27.851640100933032
