Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	253519.1852712005	0.040911370869802996
4.205301664744579	23489.03565127218	0.0040603993219602945
4.290257253931338	3900.6608114574387	0.0007299171489821775
4.376929117647122	11594.102907359273	0.0023490470057200307
4.465351928104639	236836.78261841313	0.05040750682025492
4.555561057965339	475125.95135105366	0.10875596500458139
4.6475925944898915	543215.7066032974	0.12940846005225495
4.7414833539745365	457646.1707579143	0.11337533768522888
4.8372708964790725	589061.7497696435	0.15289188881865778
4.934993540852387	813418.871622354	0.21380224895677577
5.034690380061526	921034.0718551918	0.24885837027217428
5.136401296830446	976403.0575637275	0.2707835430450498
5.240166979594697	1053631.8689505276	0.29149447623461294
5.346028938778428	1163930.1999101352	0.32920822527252336
5.454029523400215	1075839.6840060784	0.31173300149662786
5.564211938014361	1030889.9809989465	0.2983266270256882
5.676620259994449	946402.6657214906	0.28168852461372335
5.791299457166054	984868.4605559142	0.3065101780502725
5.908295405795672	950634.241041533	0.30180359014238417
6.027654908943059	1056954.3140460833	0.3486430959144541
6.149425715184332	1302556.7888322768	0.46074358790851677
6.273656537713309	1939581.6474773881	0.7234082746283735
6.40039707382873	1438238.6298308016	0.5610525948295729
6.529698024815169	1452655.5629347549	0.6095487483113046
6.661611116225576	1972153.4007238871	0.8953455884194389
6.796189118573567	2751865.4088487234	1.3243227327020157
6.933485868443741	3274573.454703369	1.6715833164041531
7.073556290028462	4007642.0879454818	2.2116592527164154
7.216456417099745	4618959.5105259605	2.7538356499351577
7.362243415424992	5590916.185808117	3.5465830258978808
7.510975605635597	6376109.74353457	4.301061755767494
7.662712486557528	7220641.618074584	5.247627050705663
7.817514759013236	7763882.757075964	6.098093021270296
7.9754443501044125	8500947.593031818	7.147134792754277
8.13656443798531	9133052.203819044	8.177392761650804
8.300939477136529	9727629.163778987	9.333397349958279
8.46863522414939	10242718.741106976	10.598885481521023
8.639718764031194	10719970.189101027	11.929121811470926
8.814258537041928	11040909.070020534	13.1165752433191
8.992324366073078	11617695.869375175	14.689706152609661
9.173987484579602	12160815.1759738	16.407173357325423
9.359320565076162	9909086.067657791	14.310837608312688
9.548397748209013	5396849.466144091	8.327107090916511
9.741294672415254	6354620.437862345	10.375421547862326
9.93808850418122	11196723.71933541	19.193878744967147
10.138857968912154	15436060.593522497	27.72823738090675
10.34368338242553	16516689.81199607	31.127350517431335
10.552646683080592	17079926.838412467	33.691809410850894
10.765831464556967	17612964.629284363	36.175508744938014
10.983323009295493	18078166.068922855	38.42591007905646
11.205208322614594	18491665.112038337	40.47281550763402
11.431576167515898	18871266.480534796	42.39574975442383
11.662517100192987	19213848.986889366	44.207343693465624
11.898123506257493	19541996.848802034	45.92206351044466
12.138489637697036	19827398.824487764	47.40383616919359
12.383711650579807	20009547.8317451	48.45045844228455
12.633887643520811	20032749.552021533	48.91550381590964
12.889117696925274	20199860.88170324	49.56055291516006
13.149503913024775	19737622.030805312	48.57531998257193
13.415150456722243	17165181.614957534	42.38770287006917
13.686163597262087	15784929.602125622	38.99817153516847
13.96265175074213	12774411.752446478	31.552605262312127
14.244725523484396	9982682.382093256	24.577960143896455
14.53249775628206	7751274.897139848	18.95873630187035
14.826083569540284	7364341.305395563	17.820635713344178
15.125600409328976	7532452.054778753	17.993152826463454
15.431168094365923	8084703.469691272	19.037831272561768
15.742908863949076	9883109.816719435	22.905595272535205
16.060947426857137	13409688.890323417	30.535332985843365
16.38541101123809	15806079.936183207	35.37213385205694
16.716429415505523	17146780.76099279	37.70389799690561
17.05413506026321	19070923.47372576	41.13713391928546
17.39866304127863	19652837.070522174	41.56902024984676
17.75015118352668	19546739.16350029	40.51139901068351
18.1087400963252	19340964.97214105	39.24528469396613
18.39491374864423	18707108.735232394	28.216053119723313
