Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	151225.57528057194	0.08694611901737513
4.205301664744579	20736.685197272098	0.012377278568334371
4.290257253931338	3006.8011404024383	0.0018617548089197632
4.376929117647122	13161.828927045506	0.008444713414022004
4.465351928104639	165589.8939510761	0.10994399515791052
4.555561057965339	176859.2087874474	0.12136497261399719
4.6475925944898915	184442.04309302487	0.13067706542112228
4.7414833539745365	193748.41501968505	0.1416263481051974
4.8372708964790725	278916.39672746556	0.21026701634062647
4.934993540852387	290197.889869976	0.22558996150775007
5.034690380061526	322474.93283169286	0.25845994389620947
5.136401296830446	436934.6429745486	0.36096530279625405
5.240166979594697	548082.4832801761	0.46648510892222544
5.346028938778428	657581.4111365593	0.5761799255735595
5.454029523400215	926052.0126438694	0.8344515708123693
5.564211938014361	1076414.1583595315	0.9963991705429277
5.676620259994449	1202806.1664917408	1.1424457173927764
5.791299457166054	1328463.9369001389	1.2932850353736234
5.908295405795672	1383466.6106329036	1.3791334585584847
6.027654908943059	1560055.619749556	1.5909935471227339
6.149425715184332	1883549.410630553	1.963465579790836
6.273656537713309	2437981.3928873306	2.5953660332038884
6.40039707382873	2168424.7948327814	2.356819534615051
6.529698024815169	2219180.7664256687	2.459555400462094
6.661611116225576	2765053.936325609	3.119737444881239
6.796189118573567	3465419.761136867	3.9731590872850986
6.933485868443741	3744613.416597918	4.355194462106984
7.073556290028462	4035059.0034840126	4.748987319228248
7.216456417099745	4225129.39375978	5.018252790871514
7.362243415424992	3984484.929757347	4.762692097471102
7.510975605635597	3953806.053282001	4.739076728343789
7.662712486557528	3635030.8673663563	4.354455888525566
7.817514759013236	3906659.2871090067	4.656917776888362
7.9754443501044125	3750936.895745541	4.434346923290228
8.13656443798531	3795914.919620954	4.432727519023061
8.300939477136529	4067721.288248584	4.673723066671323
8.46863522414939	4333858.137490972	4.8819482499698665
8.639718764031194	4485083.961389532	4.936994944216531
8.814258537041928	4800235.93744032	5.146008159829955
8.992324366073078	5081408.075455663	5.289594327719715
9.173987484579602	5571905.740145459	5.615611643654176
9.359320565076162	5940591.4315212	5.782527795976437
9.548397748209013	4877927.464070572	4.579801533206049
9.741294672415254	5800376.813361481	5.234059908844595
9.93808850418122	7054289.44144918	6.105197773934607
10.138857968912154	7387870.185086228	6.125401042852154
10.34368338242553	7734843.963453968	6.134079573754384
10.552646683080592	8130643.146194459	6.1586794643079275
10.765831464556967	8254109.270276473	5.965140004406553
10.983323009295493	8503591.751436487	5.856679496960338
11.205208322614594	8823097.065147154	5.785875867032162
11.431576167515898	9122628.833809437	5.691919335246636
11.662517100192987	9500750.580305789	5.636875629820948
11.898123506257493	9724513.03708318	5.4846529761026614
12.138489637697036	10081754.71848185	5.403936941026896
12.383711650579807	10726796.625507426	5.463708834869054
12.633887643520811	11590217.667071743	5.61030934039379
12.889117696925274	11582808.468528824	5.330841058679256
13.149503913024775	13872547.961556593	6.0700672546676095
13.415150456722243	16822138.66974709	7.001301906785864
13.686163597262087	17492219.66648103	6.9324562544850945
13.96265175074213	14615491.246747004	5.522959758455802
14.244725523484396	10768030.721721247	3.883232869935046
14.53249775628206	7073522.797068948	2.4362452450716434
14.826083569540284	6664733.892626963	2.1931668114871536
15.125600409328976	6818544.200170542	2.1456158521765336
15.431168094365923	7411180.064642689	2.232023279025889
15.742908863949076	10144079.51543344	2.9259944902485353
16.060947426857137	14958226.546072833	4.13519513808463
16.38541101123809	17492051.958741087	4.6396517677221345
16.716429415505523	17988018.632202625	4.582226006116921
17.05413506026321	17043082.038824372	4.172975279652749
17.39866304127863	15226538.174051104	3.585928986378738
17.75015118352668	14127088.107566776	3.2016234427524712
18.1087400963252	14058921.92343035	3.0673650072246947
18.39491374864423	14741984.17410547	2.360278371630619
