# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue Dec 17 16:35:27 2024
# Radiative transfer took 2.968 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O O3 NO NO2 N2O HNO3 Water WaterIce Rayleigh CIA
5.569600000e+00 2.26452e-01 9.99999e-01 9.99999e-01 9.99995e-01 2.76099e-01 9.95878e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43076e-01 9.99981e-01 8.70008e-01
5.635000000e+00 1.48107e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.90851e-01 9.96506e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42658e-01 9.99982e-01 8.23512e-01
5.700400000e+00 8.95618e-02 9.99999e-01 9.99999e-01 9.99999e-01 1.24364e-01 9.95779e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42239e-01 9.99982e-01 7.64515e-01
5.765800000e+00 7.91195e-02 9.99999e-01 9.99999e-01 9.99999e-01 1.22293e-01 9.79210e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42307e-01 9.99983e-01 6.87035e-01
5.831200000e+00 5.47476e-02 9.99999e-01 9.99998e-01 9.99999e-01 9.82823e-02 9.79342e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42614e-01 9.99984e-01 5.91475e-01
5.896600000e+00 1.31934e-02 9.99999e-01 9.99988e-01 9.99998e-01 2.76169e-02 9.94179e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42863e-01 9.99985e-01 5.06812e-01
5.962000000e+00 9.50408e-03 9.99999e-01 9.99970e-01 9.99994e-01 2.33135e-02 9.99541e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43002e-01 9.99985e-01 4.32326e-01
6.027400000e+00 2.06998e-02 9.99999e-01 9.99887e-01 9.99994e-01 5.80405e-02 9.99959e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43142e-01 9.99986e-01 3.78152e-01
6.092800000e+00 1.26738e-02 9.99999e-01 9.99677e-01 9.99998e-01 3.99500e-02 9.99996e-01 9.99999e-01 9.99994e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43202e-01 9.99986e-01 3.36350e-01
6.158200000e+00 1.40671e-02 9.99999e-01 9.99727e-01 9.99999e-01 4.69728e-02 9.99999e-01 9.99999e-01 9.99990e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43150e-01 9.99987e-01 3.17531e-01
6.223600000e+00 9.87052e-02 9.99999e-01 9.99424e-01 9.99999e-01 3.37692e-01 9.99999e-01 9.99999e-01 9.99990e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43041e-01 9.99987e-01 3.09956e-01
6.289000000e+00 1.71728e-01 9.99999e-01 9.99645e-01 9.99999e-01 6.20566e-01 9.99999e-01 9.99999e-01 9.99994e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42916e-01 9.99988e-01 2.93490e-01
6.354400000e+00 1.36039e-02 9.99999e-01 9.99804e-01 9.99999e-01 5.82204e-02 9.99999e-01 9.99999e-01 9.99998e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42797e-01 9.99988e-01 2.47841e-01
6.419800000e+00 3.47957e-03 9.99999e-01 9.97086e-01 9.99999e-01 1.93493e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42647e-01 9.99989e-01 1.90777e-01
6.485200000e+00 2.84658e-03 9.99999e-01 9.99832e-01 9.99999e-01 1.38281e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42540e-01 9.99989e-01 2.18407e-01
6.550600000e+00 3.89497e-03 9.99999e-01 9.99826e-01 9.99999e-01 1.43086e-02 9.99998e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42407e-01 9.99989e-01 2.88851e-01
6.616000000e+00 4.55586e-03 9.99999e-01 9.99600e-01 9.99999e-01 1.39226e-02 9.99998e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42298e-01 9.99990e-01 3.47270e-01
6.681400000e+00 2.28793e-02 9.99999e-01 9.99766e-01 9.99999e-01 5.84199e-02 9.99996e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42214e-01 9.99990e-01 4.15659e-01
6.746800000e+00 1.57768e-01 9.99999e-01 9.99822e-01 9.99999e-01 3.43146e-01 9.99991e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42160e-01 9.99991e-01 4.88001e-01
6.812200000e+00 6.30708e-02 9.99999e-01 9.99917e-01 9.99999e-01 1.16339e-01 9.99980e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42055e-01 9.99991e-01 5.75479e-01
6.877600000e+00 1.33811e-01 9.99999e-01 9.99967e-01 9.99999e-01 2.15927e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41942e-01 9.99991e-01 6.57910e-01
6.943000000e+00 2.31567e-01 9.99999e-01 9.99978e-01 9.99997e-01 3.32511e-01 9.99946e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41865e-01 9.99991e-01 7.39413e-01
7.008400000e+00 2.38901e-01 9.99999e-01 9.99989e-01 9.99969e-01 3.14149e-01 9.99848e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41802e-01 9.99992e-01 8.07503e-01
7.073800000e+00 4.46353e-01 9.99999e-01 9.99997e-01 9.99656e-01 5.52074e-01 9.99776e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41758e-01 9.99992e-01 8.58717e-01
7.139200000e+00 2.16765e-01 9.99999e-01 9.99998e-01 9.97684e-01 2.55086e-01 9.99856e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41734e-01 9.99992e-01 9.02898e-01
7.204600000e+00 4.72483e-01 9.99999e-01 9.99998e-01 9.89716e-01 5.40018e-01 9.99840e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41753e-01 9.99993e-01 9.32248e-01
7.270000000e+00 4.62788e-01 9.99999e-01 9.99999e-01 9.84249e-01 5.18639e-01 9.99897e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41791e-01 9.99993e-01 9.52942e-01
7.335400000e+00 5.01665e-01 9.99999e-01 9.99999e-01 9.89622e-01 5.52578e-01 9.99944e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41858e-01 9.99993e-01 9.67567e-01
7.400800000e+00 7.62915e-01 9.99999e-01 9.99999e-01 9.86671e-01 8.34638e-01 9.99974e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42011e-01 9.99993e-01 9.77847e-01
7.466200000e+00 5.60304e-01 9.99999e-01 9.99999e-01 9.96911e-01 6.04427e-01 9.99989e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42193e-01 9.99993e-01 9.84910e-01
7.531600000e+00 8.85501e-01 9.99999e-01 9.99999e-01 9.99555e-01 9.49979e-01 9.99996e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42372e-01 9.99994e-01 9.89529e-01
7.597000000e+00 6.48569e-01 9.99999e-01 9.99999e-01 9.99931e-01 6.93107e-01 9.99998e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42583e-01 9.99994e-01 9.92777e-01
7.662400000e+00 9.07756e-01 9.99999e-01 9.99999e-01 9.99876e-01 9.66893e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42862e-01 9.99994e-01 9.95842e-01
7.727800000e+00 9.01735e-01 9.99999e-01 9.99999e-01 9.98696e-01 9.59806e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43220e-01 9.99994e-01 9.97178e-01
7.793200000e+00 8.88768e-01 9.99999e-01 9.99999e-01 9.92871e-01 9.49142e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43642e-01 9.99994e-01 9.98168e-01
7.858600000e+00 7.81494e-01 9.99999e-01 9.99999e-01 9.84401e-01 8.36427e-01 9.99998e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44020e-01 9.99994e-01 9.98484e-01
7.924000000e+00 8.56706e-01 9.99999e-01 9.99999e-01 9.93551e-01 9.12542e-01 9.99997e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44381e-01 9.99995e-01 9.98372e-01
7.989400000e+00 9.23446e-01 9.99999e-01 9.99999e-01 9.85972e-01 9.92036e-01 9.99993e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44727e-01 9.99995e-01 9.99057e-01
8.054800000e+00 9.11397e-01 9.99999e-01 9.99999e-01 9.90188e-01 9.73180e-01 9.99979e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45071e-01 9.99995e-01 9.99352e-01
8.120200000e+00 9.38189e-01 9.99999e-01 9.99999e-01 9.97252e-01 9.95669e-01 9.99928e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45399e-01 9.99995e-01 9.99405e-01
8.185600000e+00 9.18727e-01 9.99999e-01 9.99999e-01 9.99425e-01 9.72647e-01 9.99790e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45725e-01 9.99995e-01 9.99456e-01
8.251000000e+00 9.17931e-01 9.99999e-01 9.99999e-01 9.99893e-01 9.71393e-01 9.99421e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45913e-01 9.99995e-01 9.99543e-01
8.316400000e+00 9.31676e-01 9.99999e-01 9.99999e-01 9.99984e-01 9.86410e-01 9.98522e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46073e-01 9.99995e-01 9.99599e-01
8.381800000e+00 9.39643e-01 9.99999e-01 9.99999e-01 9.99997e-01 9.96674e-01 9.96605e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46144e-01 9.99995e-01 9.99690e-01
8.447200000e+00 9.32217e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90630e-01 9.94040e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46186e-01 9.99996e-01 9.99681e-01
8.512600000e+00 9.09976e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.69835e-01 9.88847e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46130e-01 9.99996e-01 9.99634e-01
8.578000000e+00 9.23427e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92632e-01 9.82929e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46003e-01 9.99996e-01 9.99652e-01
8.643400000e+00 9.23592e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99244e-01 9.77225e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45877e-01 9.99996e-01 9.99719e-01
8.708800000e+00 9.15406e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97422e-01 9.69714e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45679e-01 9.99996e-01 9.99888e-01
8.774200000e+00 9.05277e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92360e-01 9.62206e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45199e-01 9.99996e-01 9.99900e-01
8.839600000e+00 8.92784e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99057e-01 9.45470e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44719e-01 9.99996e-01 9.99906e-01
8.905000000e+00 8.85509e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.94275e-01 9.40670e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44240e-01 9.99996e-01 9.99911e-01
8.970400000e+00 8.92870e-01 9.99999e-01 9.99999e-01 9.99996e-01 9.98369e-01 9.46948e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43601e-01 9.99996e-01 9.99914e-01
9.035800000e+00 9.03971e-01 9.99999e-01 9.99999e-01 9.99932e-01 9.97162e-01 9.60516e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42874e-01 9.99996e-01 9.99916e-01
9.101200000e+00 8.98808e-01 9.99999e-01 9.99999e-01 9.98327e-01 9.98499e-01 9.56330e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42106e-01 9.99996e-01 9.99919e-01
9.166600000e+00 8.78841e-01 9.99999e-01 9.99999e-01 9.84094e-01 9.99091e-01 9.46768e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.41127e-01 9.99997e-01 9.99919e-01
9.232000000e+00 8.45013e-01 9.99999e-01 9.99999e-01 9.44187e-01 9.99795e-01 9.41993e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.40149e-01 9.99997e-01 9.99919e-01
9.297400000e+00 8.33010e-01 9.99999e-01 9.99999e-01 9.22050e-01 9.98299e-01 9.49168e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.39112e-01 9.99997e-01 9.99919e-01
9.362800000e+00 7.38643e-01 9.99999e-01 9.99999e-01 9.58161e-01 9.95703e-01 8.05311e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.38036e-01 9.99997e-01 9.99918e-01
9.428200000e+00 2.95257e-01 9.99999e-01 9.99999e-01 9.61254e-01 9.99336e-01 3.17967e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.36961e-01 9.99997e-01 9.99916e-01
9.493600000e+00 1.30689e-01 9.99999e-01 9.99999e-01 9.31616e-01 9.99482e-01 1.41013e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.35887e-01 9.99997e-01 9.99914e-01
9.559000000e+00 4.27618e-01 9.99999e-01 9.99999e-01 9.55930e-01 9.99849e-01 4.61075e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.34935e-01 9.99997e-01 9.99911e-01
9.624400000e+00 1.85128e-01 9.99999e-01 9.99999e-01 9.71169e-01 9.99839e-01 1.98963e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.34083e-01 9.99997e-01 9.99908e-01
